event_time_utc,symbol,oi_notional,d6h_pct,d6h_rolling_pctl,r6h_mark,severity,severity_code,funding_time_utc,funding_value,funding_rolling_pctl,a2_overlap,regime
2022-07-05T16:00:00Z,ETHUSDT,981089956.7404318,-0.1003682117269169,0.006551059730250481,-0.03028967328915232,Medium,1,2022-07-05T08:00:00Z,1.762e-05,0.2191780821917808,0,bear
2022-07-16T01:00:00Z,ETHUSDT,1184626498.93496,-0.0962240768196363,0.0069865784151498436,-0.037058756479624214,Mild,0,2022-07-16T00:00:00Z,5.458e-05,0.31232876712328766,0,bear
2022-07-18T18:00:00Z,SOLUSDT,106829246.48,-0.12663285143764547,0.007085755813953488,-0.048966362402753164,Mild,0,2022-07-18T16:00:00Z,0.0001,0.5995433789954338,0,bear
2022-07-18T20:00:00Z,BTCUSDT,2419790405.3367767,-0.09292228038682993,0.009936043855641846,-0.03322286783099248,Mild,0,2022-07-18T16:00:00Z,0.0001,0.6287671232876713,0,bear
2022-07-19T05:00:00Z,ETHUSDT,1294357881.96456,-0.09576730570410963,0.007252946509519492,-0.03389596259759656,Mild,0,2022-07-19T00:00:00Z,0.0001,0.6397260273972603,0,bear
2022-07-20T17:00:00Z,ETHUSDT,1262735767.67052,-0.09128536887851679,0.009547829219960368,-0.03678201488191909,Mild,0,2022-07-20T16:00:00Z,2.871e-05,0.24840182648401826,0,bear
2022-07-20T20:00:00Z,SOLUSDT,110330674.72,-0.12556057960847644,0.00792221822110191,-0.08706949368786826,Mild,0,2022-07-20T16:00:00Z,0.0001,0.5986301369863014,0,bear
2022-07-22T15:00:00Z,ETHUSDT,1352838589.376,-0.09825518385040566,0.006789351438270502,-0.03510407369293196,Mild,0,2022-07-22T08:00:00Z,0.0001,0.6374429223744292,0,bear
2022-07-25T01:00:00Z,ETHUSDT,1453143177.826923,-0.11884989752677755,0.0033598585322723255,-0.03671983081855524,Medium,1,2022-07-25T00:00:00Z,0.0001,0.6378995433789955,0,bear
2022-07-25T02:00:00Z,SOLUSDT,104941762.29,-0.12798467121446333,0.007072135785007072,-0.05692148982076505,Mild,0,2022-07-25T00:00:00Z,0.0001,0.5986301369863014,0,bear
2022-08-03T23:00:00Z,SOLUSDT,114733549.77780484,-0.13319202632048832,0.006448328525369082,-0.04094530729075456,Medium,1,2022-08-03T16:00:00Z,-0.0001824,0.042922374429223746,0,bear
2022-08-07T01:00:00Z,ETHUSDT,1691330082.52368,-0.09654312155873057,0.008044243338360985,-0.022880383595542623,Mild,0,2022-08-07T00:00:00Z,0.0001,0.6442922374429224,0,bear
2022-08-09T14:00:00Z,ETHUSDT,1681453724.8851862,-0.10309647235958885,0.0063039150630391505,-0.050195180783669684,Medium,1,2022-08-09T08:00:00Z,-3.21e-06,0.18493150684931506,0,bear
