event_id,symbol,day,ok,status,quote_volume
P0RES018-00212,1000XUSDT,2024-11-19,True,200,28344887.965219997
P0RES018-00213,HIPPOUSDT,2024-11-19,True,200,102896614.4775
P0RES018-00213,HIPPOUSDT,2024-11-18,True,200,137540341.76382998
P0RES018-00212,1000XUSDT,2024-11-17,True,200,59564671.093480006
P0RES018-00214,DEGENUSDT,2024-11-18,True,200,141403137.62402698
P0RES018-00214,DEGENUSDT,2024-11-17,True,200,230251080.522477
P0RES018-00214,DEGENUSDT,2024-11-19,True,200,66098172.81724199
P0RES018-00214,DEGENUSDT,2024-11-21,True,200,103211995.638133
P0RES018-00214,DEGENUSDT,2024-11-20,True,200,80529576.87221798
P0RES018-00215,AKTUSDT,2024-11-20,True,200,56702932.35880001
P0RES018-00215,AKTUSDT,2024-11-19,True,200,116702632.39959998
P0RES018-00215,AKTUSDT,2024-11-22,True,200,22743808.770199995
P0RES018-00214,DEGENUSDT,2024-11-15,True,200,85049760.105617
P0RES018-00215,AKTUSDT,2024-11-24,True,200,22504779.768799998
P0RES018-00216,BANUSDT,2024-11-18,True,200,113815300.53120002
P0RES018-00215,AKTUSDT,2024-11-23,True,200,26526995.3726
P0RES018-00216,BANUSDT,2024-11-19,True,200,211423858.9956
P0RES018-00215,AKTUSDT,2024-11-21,True,200,35115075.491500005
P0RES018-00216,BANUSDT,2024-11-20,True,200,221949934.77879998
P0RES018-00216,BANUSDT,2024-11-21,True,200,374505773.4223999
P0RES018-00215,AKTUSDT,2024-11-18,True,200,42245496.004999995
P0RES018-00216,BANUSDT,2024-11-22,True,200,228152547.83979997
P0RES018-00216,BANUSDT,2024-11-23,True,200,179843283.30859998
P0RES018-00216,BANUSDT,2024-11-24,True,200,136046658.9458
P0RES018-00217,SCRTUSDT,2024-11-22,True,200,860467301.7378
P0RES018-00217,SCRTUSDT,2024-11-21,True,200,16367990.304999998
P0RES018-00217,SCRTUSDT,2024-11-24,True,200,57718665.2879
P0RES018-00217,SCRTUSDT,2024-11-23,True,200,243510892.48879996
P0RES018-00217,SCRTUSDT,2024-11-25,True,200,432515171.3018
P0RES018-00217,SCRTUSDT,2024-11-27,True,200,94981738.18530002
P0RES018-00217,SCRTUSDT,2024-11-26,True,200,146458471.0533
P0RES018-00218,SLERFUSDT,2024-11-21,True,200,41945461.7428
P0RES018-00218,SLERFUSDT,2024-11-22,True,200,66272144.13599999
P0RES018-00214,DEGENUSDT,2024-11-16,True,200,129915506.370299
P0RES018-00218,SLERFUSDT,2024-11-25,True,200,27041250.4435
P0RES018-00218,SLERFUSDT,2024-11-24,True,200,25696313.743999995
P0RES018-00219,1000CHEEMSUSDT,2024-11-26,True,200,87165167.66314301
P0RES018-00218,SLERFUSDT,2024-11-23,True,200,45112727.3199
P0RES018-00218,SLERFUSDT,2024-11-26,True,200,29394230.08980001
P0RES018-00219,1000CHEEMSUSDT,2024-11-25,True,200,47804815.15300402
P0RES018-00218,SLERFUSDT,2024-11-27,True,200,24776898.5442
P0RES018-00219,1000CHEEMSUSDT,2024-11-27,True,200,55096316.002101995
P0RES018-00219,1000CHEEMSUSDT,2024-11-28,True,200,14849372.698049001
P0RES018-00219,1000CHEEMSUSDT,2024-11-29,True,200,14127044.2095662
P0RES018-00219,1000CHEEMSUSDT,2024-11-30,True,200,14944782.387371099
P0RES018-00220,1000WHYUSDT,2024-11-26,True,200,37820233.975103
P0RES018-00220,1000WHYUSDT,2024-11-27,True,200,20473680.613971997
P0RES018-00220,1000WHYUSDT,2024-11-25,True,200,37761421.467308
P0RES018-00220,1000WHYUSDT,2024-11-28,True,200,14547867.789020998
P0RES018-00220,1000WHYUSDT,2024-11-30,True,200,12951397.752781197
P0RES018-00220,1000WHYUSDT,2024-11-29,True,200,16538308.784057101
P0RES018-00221,CHILLGUYUSDT,2024-11-30,True,200,158234782.55220002
P0RES018-00221,CHILLGUYUSDT,2024-12-01,True,200,127128067.38190001
P0RES018-00220,1000WHYUSDT,2024-12-01,True,200,13382661.0421683
P0RES018-00221,CHILLGUYUSDT,2024-11-27,True,200,76139071.4444
P0RES018-00221,CHILLGUYUSDT,2024-12-02,True,200,227160418.5363
P0RES018-00221,CHILLGUYUSDT,2024-11-29,True,200,149055734.0793
P0RES018-00219,1000CHEEMSUSDT,2024-12-01,True,200,11725888.3706674
P0RES018-00221,CHILLGUYUSDT,2024-11-28,True,200,156604503.90260002
P0RES018-00222,MORPHOUSDT,2024-11-27,True,200,102268421.00188
P0RES018-00222,MORPHOUSDT,2024-11-28,True,200,97903969.74198
P0RES018-00222,MORPHOUSDT,2024-11-29,True,200,75094940.17006001
P0RES018-00222,MORPHOUSDT,2024-11-30,True,200,242338102.87799996
P0RES018-00222,MORPHOUSDT,2024-12-01,True,200,63834887.08451001
P0RES018-00222,MORPHOUSDT,2024-12-02,True,200,57335906.76134
P0RES018-00222,MORPHOUSDT,2024-12-03,True,200,106493316.68923
P0RES018-00221,CHILLGUYUSDT,2024-12-03,True,200,219020892.28249997
P0RES018-00223,THEUSDT,2024-11-27,True,200,1845477537.3224697
P0RES018-00223,THEUSDT,2024-11-28,True,200,1855795336.1636698
P0RES018-00223,THEUSDT,2024-11-29,True,200,774816605.73852
P0RES018-00223,THEUSDT,2024-11-30,True,200,779818271.6845301
P0RES018-00223,THEUSDT,2024-12-02,True,200,461129649.9456799
P0RES018-00224,AEROUSDT,2024-12-04,True,200,19228938.402859997
P0RES018-00223,THEUSDT,2024-12-01,True,200,374709947.57570004
P0RES018-00223,THEUSDT,2024-12-03,True,200,348614106.51788
P0RES018-00224,AEROUSDT,2024-12-06,True,200,47937954.637140006
P0RES018-00224,AEROUSDT,2024-12-07,True,200,73170245.22773999
P0RES018-00224,AEROUSDT,2024-12-05,True,200,22059395.572959997
P0RES018-00224,AEROUSDT,2024-12-08,True,200,25270919.593639996
P0RES018-00224,AEROUSDT,2024-12-09,True,200,41487689.66518
P0RES018-00225,KAIAUSDT,2024-12-04,True,200,29973846.275999997
P0RES018-00224,AEROUSDT,2024-12-10,True,200,37183479.772649996
P0RES018-00225,KAIAUSDT,2024-12-05,True,200,49409375.35620001
P0RES018-00225,KAIAUSDT,2024-12-08,True,200,30288442.829600003
P0RES018-00225,KAIAUSDT,2024-12-06,True,200,48587460.17599999
