event_id,dataset,period,probe_symbol,ok,status,url
P0RES018-00628,spot_1h_daily_pre30,2026-05-27,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-05-27.zip
P0RES018-00628,spot_1h_daily_pre30,2026-06-06,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-06.zip
P0RES018-00628,spot_1h_daily_pre30,2026-06-02,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-02.zip
P0RES018-00628,spot_1h_daily_pre30,2026-06-04,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-04.zip
P0RES018-00628,spot_1h_daily_pre30,2026-06-01,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-01.zip
P0RES018-00628,spot_1h_daily_pre30,2026-05-30,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-05-30.zip
P0RES018-00628,spot_1h_daily_pre30,2026-05-31,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-05-31.zip
P0RES018-00628,spot_1h_daily_pre30,2026-05-19,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-05-19.zip
P0RES018-00628,spot_1h_daily_near_listing,2026-06-10,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-10.zip
P0RES018-00628,spot_1h_daily_pre30,2026-06-08,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-08.zip
P0RES018-00628,spot_1h_daily_pre30,2026-06-05,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-05.zip
P0RES018-00628,spot_1h_daily_pre30,2026-06-07,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-07.zip
P0RES018-00628,spot_1h_daily_near_listing,2026-06-12,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-12.zip
P0RES018-00628,spot_1h_daily_near_listing,2026-06-14,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-14.zip
P0RES018-00628,spot_1h_daily_near_listing,2026-06-09,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-09.zip
P0RES018-00628,spot_1h_daily_pre30,2026-06-03,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-03.zip
P0RES018-00628,spot_1h_daily_near_listing,2026-06-11,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-11.zip
P0RES018-00628,spot_1h_daily_near_listing,2026-06-13,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-13.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-10,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-10.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-09,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-09.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-11,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-11.zip
P0RES018-00628,spot_1h_daily_near_listing,2026-06-15,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-15.zip
P0RES018-00628,spot_1h_daily_near_listing,2026-06-16,URNMUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-16.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-12,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-12.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-09,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-09.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-12,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-12.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-11,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-11.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-10,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-10.zip
