symbol,entry_time,exit_time,sweep_time,entry_price,stop_loss,tp1,tp2,exit_price,exit_reason,tp1_hit,entry_fee,exit_fees,funding_paid,net_pnl,net_return,initial_risk_pct,net_r,holding_hours
BTCUSDT,2020-10-04 08:00:00,2020-10-09 08:00:00,2020-10-02 08:00:00,10578.763565099729,10375.82049348,10760.57024598,10952.94512223,10941.99217710777,TP2,True,0.001,0.0010252522291170655,-1.1917123764239398e-05,0.023238894011713418,0.023238894011713418,0.019184006748128524,1.2113681107821996,120.0
BTCUSDT,2020-10-18 08:00:00,2020-10-19 12:00:00,2020-10-16 04:00:00,11411.4,11213.493833,11586.506167,11773.012334,11761.239321665998,TP2,True,0.0010232388940117135,0.0010462548638963576,0.00030852652429501533,0.02063794960244092,0.020169238799678257,0.01734284724047875,1.1629715997614636,28.0
BTCUSDT,2020-11-28 16:00:00,2020-12-16 12:00:00,2020-11-26 16:00:00,17532.220038012678,16222.9623509,18806.44831446,20098.191296240006,20078.093104943764,TP2,True,0.0010438768436141544,0.0011570423100554412,0.003780348088960883,0.10718419919865618,0.10267897008574166,0.07467723336086342,1.3749701945915058,428.0
BTCUSDT,2020-12-25 04:00:00,2020-12-26 20:00:00,2020-12-21 12:00:00,23611.247580480558,22005.39802558,25169.921815539998,26752.183710519996,26725.431526809476,TP2,True,0.0011510610428128105,0.0012643496963771273,0.0009123595081944765,0.1099608833169321,0.0955300190233389,0.06801205863548328,1.404604138441693,40.0
BTCUSDT,2021-01-05 20:00:00,2021-02-08 12:00:00,2021-01-04 08:00:00,33453.440019999995,28331.34267388,38508.69732611999,43597.37465223999,43553.777277587746,TP2,True,0.0012610219261297427,0.0015459399603482945,0.04810140710174518,0.2340096652303294,0.18557144834787978,0.15311122990812814,1.2120041649409312,808.0
BTCUSDT,2021-02-17 08:00:00,2021-02-23 08:00:00,2021-02-15 00:00:00,50766.545829999995,45818.13251126,55613.52748874,60511.22497748,45772.31437874874,STOP,True,0.001495031591360072,0.0014920445152534585,0.0219737459380922,-0.02794789815131904,-0.018693851228851997,0.09747390211086168,-0.19178314219523698,144.0
BTCUSDT,2021-03-01 12:00:00,2021-03-10 12:00:00,2021-02-28 16:00:00,47516.27546478812,43047.01,51890.60331626,56312.39997439,56256.08757441561,TP2,True,0.0014670836932087529,0.001668734736372175,0.004601396738986944,0.19391382799485446,0.13217639108968152,0.09405757124419536,1.4052711476731716,216.0
BTCUSDT,2021-03-17 20:00:00,2021-03-22 20:00:00,2021-03-15 08:00:00,57713.655999999995,54771.14560305,60540.85439695,63425.708793900005,54716.374457446946,STOP,False,0.0016609975212036074,0.0015747358362302982,0.00908478860237537,-0.09858220693311837,-0.05935120653382,0.05098464732419651,-1.164099579946547,120.0
BTCUSDT,2021-03-24 12:00:00,2021-03-24 20:00:00,2021-03-23 04:00:00,56137.270094365456,53009.81948843,59152.558322490004,62223.927739520004,52956.809668941576,STOP,False,0.0015624153142704891,0.0014738965803391742,0.00041443273485401754,-0.09196947856077897,-0.0588636566223883,0.05571077112724365,-1.0565938225472313,8.0
BTCUSDT,2021-03-27 00:00:00,2021-04-10 04:00:00,2021-03-25 00:00:00,54571.426909999995,51519.29848513,57514.52151487001,60512.13302974001,60451.62089671027,TP2,True,0.0014704458357097101,0.0015885442317747202,0.016838100915380502,0.09820130508214509,0.06678335420273965,0.055929056608756286,1.1940726029032287,340.0
BTCUSDT,2021-04-26 04:00:00,2021-05-13 00:00:00,2021-04-25 20:00:00,52107.05499999999,46983.49676923,57126.50323077,62198.006461540004,46936.51327246077,STOP,True,0.0015686471407918552,0.001565512980670393,0.016149219356423224,-0.022417539599347558,-0.014291002110284123,0.09832753416538309,-0.14534079626411878,404.0
BTCUSDT,2021-08-05 20:00:00,2021-08-13 20:00:00,2021-08-05 12:00:00,40722.55568225845,37332.08713217,44031.66048473,47381.44716100999,47334.065713848984,TP2,True,0.0015462296011925078,0.0017337358247800226,0.0024253321966928,0.1818009259648492,0.11757692765979763,0.08325775465918428,1.4122039219181315,192.0
BTCUSDT,2021-08-19 20:00:00,2021-09-05 20:00:00,2021-08-19 04:00:00,46420.6429583897,43962.59,48785.94737940001,51197.62606910001,51146.42844303091,TP2,True,0.0017280305271573568,0.0018591070854067071,0.010032784988719632,0.11745663564806641,0.06797138927938086,0.05295172151305697,1.2836483373372536,408.0
BTCUSDT,2021-09-15 00:00:00,2021-09-20 08:00:00,2021-09-13 12:00:00,46977.74592548036,43450.5930442,50411.03717654,53891.259242709995,43407.1424511558,STOP,False,0.0018454871628054233,0.0017052185580539907,0.002999032628749873,-0.1468183431010417,-0.07955533154609178,0.0750813563272149,-1.0595883643787505,128.0
BTCUSDT,2021-09-23 04:00:00,2021-10-06 12:00:00,2021-09-21 20:00:00,43736.72482492313,39591.24469091,47794.81889535,51896.60599757,51844.709391572425,TP2,True,0.0016986688197043816,0.001933996807255723,0.0031980501580745678,0.2284972717663074,0.13451549184618145,0.09478259176029671,1.4192003969079938,320.0
BTCUSDT,2021-10-13 20:00:00,2021-10-15 16:00:00,2021-10-12 20:00:00,56712.94628999999,54073.63877217,59238.94122783,61821.59245566,61759.77086320434,TP2,True,0.001927166091470689,0.0020548258115778185,0.0016432478082240255,0.12203448039585796,0.06332328123453496,0.046538007465420146,1.3606788232518772,44.0
BTCUSDT,2021-10-25 04:00:00,2021-10-27 08:00:00,2021-10-24 16:00:00,61917.795939999996,59559.85,64152.030000000006,66448.12000000001,59500.29015,STOP,False,0.002049200571866547,0.0019691920028897187,0.00532597509819599,-0.08935293664978072,-0.04360380232003946,0.03808187782208706,-1.1450013710917832,52.0
BTCUSDT,2021-10-30 00:00:00,2021-11-18 12:00:00,2021-10-28 16:00:00,62051.25926999999,57952.6484886,66025.8915114,70062.51302279998,57894.6958401114,STOP,True,0.001959847635216766,0.001955931855725824,0.028710355887320738,-0.03654191486920455,-0.018645283547852373,0.06605201618174969,-0.2822818231096495,468.0
BTCUSDT,2021-11-20 20:00:00,2021-11-22 16:00:00,2021-11-18 20:00:00,59391.692359999994,56523.01693528,62141.70306472,64951.04612944,56466.49391834472,STOP,False,0.0019233057203475615,0.0018285778102236118,0.0011399844184665326,-0.09961977807298705,-0.051796122176033826,0.04830095440506477,-1.0723622920917388,44.0
BTCUSDT,2021-11-25 12:00:00,2021-11-26 08:00:00,2021-11-23 08:00:00,58017.97001,55411.37989606,60508.64010394,63057.27020788,55355.96851616394,STOP,False,0.0018236859422745748,0.0017400109239692812,0.001082474003749571,-0.0883211891752873,-0.04843004331388855,0.04492728913973931,-1.077964957183472,20.0
BTCUSDT,2021-11-29 00:00:00,2021-12-03 20:00:00,2021-11-28 16:00:00,57231.17399999999,53290.0,61058.0,64942.0,53236.71,STOP,False,0.0017353647530992872,0.001614244539260515,0.003724589831829721,-0.12819441296296152,-0.07387173949108496,0.06886411241537685,-1.0727175142475218,116.0
BTCUSDT,2023-01-20 20:00:00,2023-01-25 20:00:00,2023-01-18 16:00:00,21515.779482237038,20420.28968443,22568.28070965,23642.27622226,23618.63394603774,TP2,True,0.0016071703401363258,0.0017241756992094487,0.0013612726394771984,0.11231274039429939,0.06988228788789907,0.05091564536211432,1.372511089487193,120.0
BTCUSDT,2023-02-01 20:00:00,2023-02-09 00:00:00,2023-01-30 20:00:00,23344.74567272848,22511.31904667,24131.529450290003,24941.634652100005,22488.80772762333,STOP,True,0.001719483080530625,0.0017160475499001944,0.001971349754118937,-0.00884241101498029,-0.005142482130299043,0.03570082269228131,-0.14404379906379222,172.0
BTCUSDT,2023-02-12 20:00:00,2023-02-13 08:00:00,2023-02-10 20:00:00,21777.755999999998,21461.19743657,22050.80256343,22345.60512686,21439.73623913343,STOP,False,0.001710640669515645,0.001684089249340017,0.00014403191184994262,-0.030090182006333288,-0.017590007382937468,0.014535866938264756,-1.2101106495845033,12.0
BTCUSDT,2023-02-14 16:00:00,2023-02-15 16:00:00,2023-02-13 16:00:00,21935.154376775638,21357.45747873,22469.02479255,23024.80844946,23001.78364101054,TP2,True,0.0016805504875093116,0.001741000488028499,0.0001641652078188526,0.056864284335830906,0.03383670098487049,0.026336577720067793,1.2847797213640173,24.0
BTCUSDT,2023-02-23 04:00:00,2023-02-25 00:00:00,2023-02-22 16:00:00,24328.860099764217,23576.6694634,25032.441625039995,25760.327705859992,23553.0927939366,STOP,False,0.0017374147718451425,0.0016820143309230267,0.00014266453395731912,-0.05896253455884137,-0.033936936369099065,0.03091762759454174,-1.0976565477194105,44.0
BTCUSDT,2023-02-26 20:00:00,2023-03-03 00:00:00,2023-02-25 20:00:00,23338.436668717168,22752.88863324,23877.354461100003,24439.587375030005,22730.13574460676,STOP,True,0.001678452237286301,0.0016750986863626526,0.0007847665481691729,-0.007491868395467005,-0.004463557692639355,0.025089428387550756,-0.1779059141440683,100.0
BTCUSDT,2023-04-05 04:00:00,2023-04-14 04:00:00,2023-04-03 20:00:00,28471.772962402767,27215.14578175,29671.51348379,30899.69733481,30868.79763747519,TP2,True,0.001670960368890834,0.0017756337270312698,0.001380803325406659,0.09984596071910734,0.05975363783486022,0.04413589495505437,1.3538558104624392,216.0
BTCUSDT,2023-04-25 20:00:00,2023-04-26 08:00:00,2023-04-24 16:00:00,27625.26082983667,26979.24342857,28216.082904770003,28834.502642870004,28805.668140227135,TP2,True,0.0017708063296099415,0.0018266707612171235,9.413226532505175e-05,0.052172822251029816,0.029462748906325636,0.023385024497902196,1.2598981416063368,12.0
BTCUSDT,2023-05-04 00:00:00,2023-05-08 08:00:00,2023-05-01 20:00:00,28975.010087833805,27654.86032284,30237.26772478,31528.471425749998,27627.20546251716,STOP,False,0.0018229791518609712,0.0017381812613585723,0.0014995732633448198,-0.0898586241789634,-0.049292184217922655,0.04556166713978535,-1.081878414736052,104.0
BTCUSDT,2023-05-17 08:00:00,2023-05-29 00:00:00,2023-05-12 16:00:00,26705.511611168386,25824.67451465,27532.991042129997,28387.149305869996,28358.762156564128,TP2,True,0.001733120527682008,0.0018127236844311067,0.004024399428470847,0.07203291310851556,0.0415625526084197,0.03298334476206084,1.2601072725719167,280.0
BTCUSDT,2023-06-03 16:00:00,2023-06-05 12:00:00,2023-06-02 00:00:00,27066.956605578886,26514.87257407,27564.96080371,28090.00491853,26488.35770149593,STOP,False,0.0018051534407905235,0.0017665654377962121,0.0008011283815272834,-0.04296085025442542,-0.0237990019483395,0.020396974789367115,-1.1667907713817371,44.0
BTCUSDT,2023-06-07 00:00:00,2023-06-14 20:00:00,2023-06-06 12:00:00,26929.002099999994,25360.3628037,28443.837196299995,29985.574392599992,25335.0024408963,STOP,False,0.0017621925905360982,0.0016578836979095274,0.0020688894948221632,-0.10979785840983824,-0.06230752472772304,0.058250925543950734,-1.069640081181398,188.0
BTCUSDT,2023-06-16 16:00:00,2023-06-20 16:00:00,2023-06-15 08:00:00,25788.124937665085,24804.46288039,26720.262269789997,27678.161964489995,27650.483802525505,TP2,True,0.0016523947321262595,0.0017410684605435977,0.0006298964081782544,0.08465036881648969,0.0512289026167275,0.03814399300657904,1.3430398492337075,96.0
BTCUSDT,2023-06-29 20:00:00,2023-06-30 04:00:00,2023-06-28 16:00:00,30359.17702950132,29873.17291575,30784.52344689,31240.198712460002,31208.95851374754,TP2,True,0.0017370451009427494,0.0017726435719894388,0.00017416637847859255,0.03191461599527834,0.0183729345760552,0.016008474580158975,1.1477005185007918,8.0
BTCUSDT,2023-07-05 20:00:00,2023-07-18 16:00:00,2023-06-30 12:00:00,30523.112268669018,29570.19724793,31415.042050110005,32337.46445120001,29540.62705068207,STOP,True,0.001768959716938028,0.001765425331889201,0.0017162141077492067,-0.008784984205403079,-0.004966186692260808,0.03121945797503604,-0.15907344375523466,308.0
BTCUSDT,2023-07-20 08:00:00,2023-07-24 08:00:00,2023-07-18 16:00:00,30183.149342496148,29526.13563736,30779.857054940003,31406.717763730005,29496.60950172264,STOP,False,0.0017601747327326248,0.0017201381524860962,0.0009216949645858567,-0.04443858809633383,-0.02524669129146292,0.02176756632254777,-1.1598306819128112,96.0
BTCUSDT,2023-08-02 00:00:00,2023-08-17 00:00:00,2023-08-01 12:00:00,29640.12732817136,28587.85303114,30633.180591580003,31655.844371800005,28559.26517810886,STOP,False,0.0017157361446362908,0.0016531698055076143,0.007136885214997211,-0.07307213029381754,-0.04258937513338199,0.03550167937474508,-1.1996439572286515,360.0
