symbol,signal_time,entry_time,exit_time,entry_price,stop_price,atr14,atr_multiple,btc_sigma,vol_percentile,vol_scalar,high_fear,atr_risk_pct,exit_price,exit_reason,initial_quantity,initial_notional,nominal_pct_of_entry_equity,risk_budget,nominal_risk,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,expectancy_r,holding_bars,holding_hours
BTC,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-26 16:00:00,10173.91375,9235.81375,268.0285714285713,3.5,0.024570969317376352,0.978702807357212,0.5,True,0.09220640385318772,9829.161,TIME_T24,0.5329922183136129,5422.616858543867,0.054226168585438675,500.0,938.0999999999996,100000.0,2.711308429271934,5.330741592047758,6.344786270120459,-183.7505329922182,-195.42606085438644,-0.0019542606085438644,-0.39085212170877287,24,96
ETH,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-26 16:00:00,213.74352999999996,191.81102999999996,6.266428571428569,3.5,0.024570969317376352,0.978702807357212,0.5,True,0.10261129307633308,219.29048999999998,TIME_T24,22.797218739313813,4872.7580075230835,0.048727580075230835,500.0,21.93249999999999,100000.0,2.436379003761542,4.935985637752196,5.891576427675826,126.45526045822444,115.62769839279642,0.0011562769839279642,0.23125539678559284,24,96
BTC,2019-08-13 16:00:00,2019-08-13 20:00:00,2019-08-14 16:00:00,10947.216279999999,10387.858779999999,159.81642857142847,3.5,0.017011955506627607,0.6549356223175966,1.0,False,0.051095866354802635,10127.632230000001,STOP_CLOSE,1.7863388197626469,19555.43740930163,0.19571054790540945,999.202016375384,559.3574999999996,99920.2016375384,9.777718704650816,18.82341000701499,5.7211770052677995,-1464.054804573286,-1488.5993915855686,-0.014897882181878284,-1.4897882181878284,6,24
BTC,2019-08-16 04:00:00,2019-08-16 08:00:00,2019-08-20 04:00:00,9947.507569999998,8945.662569999997,286.2414285714286,3.5,0.015994957945727042,0.620016963528414,1.0,False,0.10071316789156265,10797.93126,TIME_T24,0.982503303863899,9773.459052736143,0.09929188217738268,984.3160224595281,1001.8450000000003,98431.60224595282,4.886729526368072,10.191231095290709,11.277685788474452,835.5440851091296,814.0751682253645,0.008270465477044863,0.8270465477044865,24,96
BTC,2019-08-21 16:00:00,2019-08-21 20:00:00,2019-08-25 16:00:00,10117.247139999998,9295.522139999997,234.7785714285714,3.5,0.014540411654882351,0.5833333333333334,1.0,False,0.08122021619410595,10051.16877,TIME_T24,1.2077723984809783,12219.331844302615,0.12312205591895098,992.4567741417818,821.7249999999999,99245.67741417816,6.109665922151308,12.17942802859131,14.724041477266697,-79.80763142261044,-106.71110092846845,-0.0010752216490309712,-0.1075221649030971,24,96
BTC,2019-10-30 08:00:00,2019-10-30 12:00:00,2019-11-03 08:00:00,9105.326229999999,8330.628729999999,221.34214285714305,3.5,0.015021580699101958,0.6895705521472393,0.5,True,0.08508179503196128,9147.36348,TIME_T24,0.6398559845181482,5826.097479255568,0.05876697827216424,495.6948315662485,774.6975000000007,99138.96631324971,2.913048739627784,5.8395463722481615,7.049823822047605,26.897785985186307,14.00841579089054,0.00014130080544342275,0.02826016108868455,24,96
BTC,2019-11-07 20:00:00,2019-11-08 00:00:00,2019-11-08 12:00:00,9223.213999999998,8845.271499999999,107.98357142857132,3.5,0.014737924795134274,0.661511005353956,0.5,True,0.04097731007867753,8812.31886,STOP_CLOSE,1.3117468229828704,12098.52166219113,0.12201874623785373,495.764873645203,377.94249999999965,99152.97472904061,6.049260831095565,11.82902646495408,1.199516388302102,-538.9903944741001,-552.0189373273562,-0.005567346202530796,-1.1134692405061593,4,16
BTC,2019-11-11 08:00:00,2019-11-11 12:00:00,2019-11-15 08:00:00,8734.89617,8301.80367,123.74071428571435,3.5,0.014669953395872931,0.6586368977673326,1.0,False,0.04958187156104458,8621.90946,TIME_T24,2.2766719763494683,19886.4933265613,0.2016866182166626,986.0095579171325,433.0925000000002,98600.95579171326,9.94324666328065,19.75787648838284,23.80475241440739,-257.23367635692244,-300.7963052597127,-0.003050642895339891,-0.3050642895339891,24,96
BTC,2020-01-19 08:00:00,2020-01-19 12:00:00,2020-01-23 08:00:00,8689.841159999998,8079.976159999998,174.24714285714293,3.5,0.010994546464040756,0.29773156899810965,1.0,False,0.07018137486876692,8414.577,TIME_T24,1.611834741892935,14006.587883219201,0.14248794667672346,983.0015948645353,609.8650000000002,98300.15948645353,7.0032939416096,13.784747715076215,16.761683854965302,-443.6803362859737,-474.2267678560152,-0.004824272619022222,-0.4824272619022221,24,96
BTC,2020-01-23 16:00:00,2020-01-23 20:00:00,2020-01-27 16:00:00,8378.2699,7960.337399999999,119.40928571428569,3.5,0.010747517772614297,0.27310924369747897,1.0,False,0.049882911984012346,8923.187880000001,TIME_T24,2.3407113043038663,19611.11106543882,0.20046945140662673,978.2593271859754,417.9324999999999,97825.93271859753,9.80555553271941,20.248858903291037,23.77642110978651,1275.4956757044329,1231.4703956913554,0.01258838389237502,1.2588383892375017,24,96
