symbol,signal_time,entry_time,exit_time,entry_price,sweep_low,exit_price,exit_reason,initial_quantity,initial_notional,risk_budget,nominal_risk,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,expectancy_r,holding_bars,holding_hours,holding_window
BTC,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-23 04:00:00,10168.831875,10100.0,10094.95,STOP,4.81209489569415,48933.38396085947,331.22551434855706,68.83187499999985,100000.0,19.57335358434379,39.00449653125885,4.977188247375625,-355.52659357180903,-399.5082783504435,-0.0039950827835044354,-1.2061518845738157,3,12,6
ETH,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-23 04:00:00,213.636765,212.25,212.143875,STOP,238.84761610551016,51026.63203274309,331.22551434855706,1.386764999999997,100000.0,20.410652813097236,40.67867633915137,5.197085278839796,-356.5732176077523,-402.44897922574347,-0.004024489792257435,-1.215030128392332,3,12,6
BTC,2019-08-13 16:00:00,2019-08-13 20:00:00,2019-08-14 00:00:00,10941.74814,10788.45,10783.055775,STOP,6.47092278761011,70803.20737541653,991.9804274242383,153.29813999999897,99198.04274242382,28.321282950166616,56.23181148397394,7.049009145764048,-1026.8860408982343,-1090.1668615279723,-0.010989802131063046,-1.0989802131063044,2,8,6
BTC,2019-08-14 08:00:00,2019-08-14 12:00:00,2019-08-14 16:00:00,10559.99736,10410.0,10404.795,STOP,6.540640173993478,69069.14297008107,981.0787588089584,149.9973599999994,98107.87588089584,27.62765718803243,54.849265259699024,6.876861782137613,-1015.1227909145939,-1076.8489179564306,-0.010976171976893458,-1.0976171976893458,2,8,6
BTC,2019-08-16 04:00:00,2019-08-16 08:00:00,2019-08-17 04:00:00,9942.538784999999,9750.0,10352.811005,TIME,5.039557456589331,50105.99547137537,970.3102696293942,192.53878499999882,97031.02696293942,20.04239818855015,40.91183254731328,10.442033603857485,2067.590425532462,2016.2365593812915,0.020779297328795503,2.0779297328795505,6,24,6
BTC,2019-08-21 16:00:00,2019-08-21 20:00:00,2019-08-22 00:00:00,10112.19357,9858.0,9853.071,STOP,3.8965290712239864,39402.45621934927,990.4726352232072,254.19356999999945,99047.26352232072,15.760982487739708,31.118093524673306,3.951399993604962,-1009.6786270152706,-1044.748120533549,-0.010547975616692434,-1.0547975616692433,2,8,6
BTC,2019-10-30 08:00:00,2019-10-30 12:00:00,2019-10-30 12:00:00,9100.778115,9018.0,9013.491,STOP,10.764280683680779,97963.33006975926,891.0468643259971,82.77811499999916,98002.51540178717,39.185332027903705,77.99483085343593,0.0,-939.5830059287139,-1017.5778367821498,-0.010383180805210161,-1.142002601122291,1,4,6
BTC,2019-10-30 12:00:00,2019-10-30 16:00:00,2019-10-31 08:00:00,9098.26686,9001.01,8996.509495,STOP,9.972040796403,90728.28830448142,969.8493756500502,97.2568599999995,96984.93756500502,36.291315321792574,72.17673920553935,18.199014341598662,-1014.7285951144656,-1105.1043486616038,-0.011394597722155543,-1.1394597722155544,5,20,6
BTC,2019-10-31 08:00:00,2019-10-31 12:00:00,2019-11-01 08:00:00,9114.084765,8913.0,9158.57842,TIME,4.768130157266942,43457.142423883684,958.7983321634342,201.0847649999996,95879.83321634341,17.382856969553476,34.85057455439197,13.09055327327491,212.1515382125321,164.2104103848652,0.0017126689197961011,0.1712668919796101,6,24,6
BTC,2019-11-07 20:00:00,2019-11-08 00:00:00,2019-11-08 08:00:00,9218.607,9101.0,9096.4495,STOP,8.166524409833453,75283.97909016153,960.4404362672827,117.60699999999997,96044.04362672826,30.113591636064616,59.82814238989154,7.467812914376923,-997.6022055942248,-1064.8981608984932,-0.011087602319589768,-1.1087602319589767,3,12,6
BTC,2019-11-11 08:00:00,2019-11-11 12:00:00,2019-11-12 08:00:00,8730.533085,8618.68,8744.395615000001,TIME,8.491419388730383,74134.61791192109,949.7914546582977,111.85308499999883,94979.14546582977,29.653847164768436,59.35477935194442,22.272347708766258,117.71255601887488,36.0854289581642,0.00037993002338757085,0.03799300233875709,6,24,6
BTC,2019-11-12 12:00:00,2019-11-12 16:00:00,2019-11-13 12:00:00,8707.961805,8567.6,8746.80441,TIME,6.769308138691122,58946.87671799794,950.1523089478793,140.36180500000046,95015.23089478794,23.57875068719918,47.262676399260144,11.891494682459644,262.93756215446325,203.78339107274346,0.0021447444704775433,0.21447444704775434,6,24,6
