symbol,datetime,bar_index,period,close,ref_low,future_ret_6,future_ret_12,future_ret_24
BTC,2019-07-22 16:00:00,1213,2019-2020,10162.66,10121.84,-0.0013164666052194068,-0.05165971814502619,-0.032366139023804176
ETH,2019-07-22 16:00:00,1213,2019-2020,213.53,212.52,0.01607393150947654,-0.008607159879003123,0.027620451544225724
BTC,2019-08-13 16:00:00,1345,2019-2020,10936.18,10911.0,-0.0758085058140319,-0.06052215755661337,-0.06811948224462767
BTC,2019-08-14 08:00:00,1349,2019-2020,10556.7,10541.0,-0.044761092665220735,-0.016298132686764617,-0.016261545782753992
BTC,2019-08-21 16:00:00,1392,2019-2020,10106.28,9921.16,0.005421500882632868,0.02901507241381989,-0.00446758919972916
BTC,2019-11-11 08:00:00,1882,2019-2020,8726.74,8696.0,0.002521243920181749,0.005294927001292599,-0.011084799580131787
BTC,2019-11-12 12:00:00,1889,2019-2020,8705.27,8618.68,0.005259959023733673,-0.0071128974771476824,-0.025110262948414893
BTC,2020-01-19 08:00:00,2296,2019-2020,8681.44,8586.0,-0.007653524818630316,-0.002846894910531861,-0.030221354196889823
BTC,2020-01-19 20:00:00,2299,2019-2020,8701.7,8524.2,-0.0068438722969167065,0.003937444191740983,-0.03474875250481192
BTC,2020-01-23 16:00:00,2322,2019-2020,8370.98,8326.0,0.015149308027211332,-0.0009645098211608602,0.0648828062544331
BTC,2020-01-24 00:00:00,2324,2019-2020,8320.57,8306.39,-0.0027620354070030926,0.005782132771621338,0.09085597675846596
BTC,2020-01-24 08:00:00,2326,2019-2020,8412.77,8275.5,-0.011516510903403018,0.007859419378414438,0.07655795704866976
BTC,2020-02-02 04:00:00,2379,2019-2020,9370.53,9204.44,-0.000252952582345663,-0.009855751561725008,0.02718894930237895
BTC,2020-02-04 08:00:00,2392,2019-2020,9182.81,9120.0,0.02534045874634752,0.054678187960541816,0.06607105430002691
BTC,2020-02-04 12:00:00,2393,2019-2020,9206.47,9108.0,0.02981353996895439,0.06113621545323479,0.06547851837111988
ETH,2020-02-16 12:00:00,2465,2019-2020,258.83,256.08,-0.009120786676398667,0.055714984414022464,-0.010994031058079114
BTC,2020-02-17 12:00:00,2471,2019-2020,9633.45,9568.0,0.020266690654801984,0.051169655023796244,0.005010548766110614
BTC,2020-02-19 20:00:00,2484,2019-2020,9593.79,9452.67,0.00027409809652581926,0.00864108861613587,0.035088767869872514
BTC,2020-02-24 16:00:00,2513,2019-2020,9601.09,9550.21,-0.025436685100199117,-0.0835925220898331,-0.11276794790119159
ETH,2020-02-25 04:00:00,2516,2019-2020,257.69,256.0,-0.07978079933025854,-0.13374762262755505,-0.1172495910952944
ETH,2020-02-25 16:00:00,2519,2019-2020,250.4,250.13,-0.08615493292186398,-0.0639423197741993,-0.10620396675437485
BTC,2020-02-25 20:00:00,2520,2019-2020,9315.84,9281.0,-0.05864199828916444,-0.05433042773669016,-0.08887621709935817
ETH,2020-02-25 20:00:00,2520,2019-2020,246.67,245.93,-0.09671790793557251,-0.07962725905906046,-0.1271867834367104
BTC,2020-02-26 08:00:00,2523,2019-2020,9158.37,9111.0,-0.039421161920695655,-0.06453990420851374,-0.057297351372720504
ETH,2020-02-26 16:00:00,2525,2019-2020,229.73,225.98,0.022212613147664702,-0.03170797812894672,-0.06005346210193603
