label,symbol,signal_time,entry_time,exit_time,exit_reason,raw_entry_price,entry_price,raw_exit_price,exit_price,quantity,final_quantity,initial_notional,entry_equity,gross_pnl,net_pnl,entry_fee,exit_fee,total_fees,entry_slippage_cost,exit_slippage_cost,total_slippage_cost,funding_cost,holding_bars
p1-04_strategy,BTC,2019-04-01 04:00:00,2019-04-01 08:00:00,2019-04-09 12:00:00,GATE_OFF,4128.85,4132.9788499999995,5152.94,5147.78706,8.065207818165664,8.065207818165664,33333.33333333333,100000.0,8259.49867450527,8109.787803454807,33.33333333333333,41.51797244256404,74.85130577589737,33.30003330002643,41.559531974538125,74.85956527456455,0.0,49
p1-04_strategy,ETH,2019-04-01 04:00:00,2019-04-01 08:00:00,2019-04-15 12:00:00,GATE_OFF,142.45,142.59244999999999,165.14,164.97485999999998,233.76646753270128,233.76646753270128,33333.33333333333,100000.0,5304.161148316992,5160.357996981372,33.33333333333333,38.56559025390194,71.89892358723526,33.30003330003251,38.604194448352175,71.90422774838468,0.0,85
p1-04_strategy,BTC,2019-04-23 08:00:00,2019-04-23 12:00:00,2019-04-25 16:00:00,GATE_OFF,5513.97,5519.483969999999,5432.0,5426.568,6.840624136609651,6.840624136609651,37756.715266812054,113270.14580043618,-560.7259604778948,-710.4810543650577,37.75671526681206,37.12111203975356,74.87782730656562,37.7189962705351,37.15827031006218,74.87726658059728,0.0,13
p1-04_strategy,ETH,2019-04-25 00:00:00,2019-04-25 04:00:00,2019-04-30 08:00:00,GATE_OFF,163.34,163.50333999999998,157.41,157.25259,229.3631635847204,229.3631635847204,37501.64331906816,112504.92995720448,-1360.1235600573934,-1507.261389620546,37.50164331906816,36.06795152429097,73.56959484335913,37.46417913992289,36.10405557987055,73.56823471979344,0.0,31
p1-04_strategy,BTC,2019-04-26 16:00:00,2019-04-26 20:00:00,2019-05-22 08:00:00,GATE_OFF,5260.46,5265.72046,7881.19,7873.3088099999995,7.004555095997267,7.004555095997267,36884.02908219007,110652.08724657023,18357.047676732916,18172.963210825972,36.88402908219007,55.14902534744568,92.03305442963574,36.84718190028636,55.20422957702312,92.05141147730947,0.0,151
p1-04_strategy,ETH,2019-05-11 16:00:00,2019-05-11 20:00:00,2019-05-23 04:00:00,GATE_OFF,194.7,194.89469999999997,243.46,243.21654,209.4656855353578,209.4656855353578,40823.751942707895,122471.25582812369,10213.54682670405,10029.998070702537,40.823751942707894,50.945519284637776,91.76927122734567,40.78296897373065,50.99651580043798,91.77948477416862,0.0,66
p1-04_strategy,BTC,2019-05-27 12:00:00,2019-05-27 16:00:00,2019-05-30 08:00:00,GATE_OFF,8798.96,8807.758959999997,8699.1,8690.4009,5.270177702425041,5.270177702425041,46418.45487932635,139255.36463797907,-526.279945364158,-710.7162429394842,46.418454879326355,45.79995704831452,92.21841192764087,46.37208279652067,45.845802851164706,92.21788564768538,0.0,16
p1-04_strategy,ETH,2019-05-27 16:00:00,2019-05-27 20:00:00,2019-06-02 08:00:00,GATE_OFF,267.7,267.9677,271.27,270.99872999999997,172.859786403012,172.859786403012,46320.8393849064,138962.5181547192,617.1094374587517,430.7775764129254,46.3208393849064,46.84478258328752,93.16562196819392,46.27456482008471,46.891674257547734,93.16623907763244,0.0,33
p1-04_strategy,BTC,2019-06-04 08:00:00,2019-06-04 12:00:00,2019-06-11 20:00:00,GATE_OFF,7943.56,7951.503559999999,7868.69,7860.821309999999,5.825960038994711,5.825960038994711,46325.141990484175,138975.42597145253,-436.1896281195386,-620.4331375623494,46.32514199048418,45.79683082573805,92.12197281622223,46.278863127349815,45.84267349923871,92.12153662658852,0.0,44
p1-04_strategy,ETH,2019-06-04 08:00:00,2019-06-04 12:00:00,2019-06-12 12:00:00,GATE_OFF,246.18,246.42618,247.9,247.65210000000002,187.98790773968975,187.98790773968975,46325.141990484175,138975.42597145253,323.3392013122662,137.5773937394216,46.32514199048418,46.55560012634042,92.88074211682459,46.27886312735328,46.60220232866667,92.88106545601995,0.0,48
p1-04_strategy,ETH,2019-06-13 16:00:00,2019-06-13 20:00:00,2019-06-19 20:00:00,GATE_OFF,258.89,259.14888999999994,266.44,266.17356,178.1377110119073,178.1377110119073,46164.19007587654,138492.57022762962,1344.9397181399022,1157.7788956278605,46.16419007587654,47.41554871029057,93.57973878616711,46.11807200386399,47.46301172201056,93.58108372587455,0.0,36
p1-04_strategy,BTC,2019-06-14 16:00:00,2019-06-14 20:00:00,2019-06-30 08:00:00,GATE_OFF,8385.86,8394.245859999999,11728.81,11717.081189999999,5.469525115886372,5.469525115886372,45912.53856019519,137737.6156805856,18284.34898615234,18064.3318849758,45.912538560195195,64.08686985358477,109.99940841377997,45.86667188829869,64.15102087446209,110.01769276276079,0.0,93
p1-04_strategy,ETH,2019-06-21 08:00:00,2019-06-21 12:00:00,2019-07-04 16:00:00,GATE_OFF,288.35,288.63835,293.03,292.73697,170.14964773112118,170.14964773112118,49111.713574192065,147335.1407225762,796.3003513816386,598.457943286157,49.111713574192066,49.809092323375786,98.92080589756785,49.06265092326537,49.858951274648305,98.92160219791367,0.0,79
p1-04_strategy,BTC,2019-07-01 12:00:00,2019-07-01 16:00:00,2019-07-04 08:00:00,GATE_OFF,10390.17,10400.560169999999,11669.23,11657.56077,5.037742373671145,5.037742373671145,52395.34267832537,157186.0280349761,6443.574760467813,6221.322055807059,52.39534267832537,58.72778786467543,111.1231305430008,52.34299967864048,58.7865744391121,111.12957411775258,0.0,16
p1-04_strategy,ETH,2019-07-09 04:00:00,2019-07-09 08:00:00,2019-07-25 16:00:00,GATE_OFF,311.77,312.08176999999995,221.02,220.79898,175.73862239942918,175.73862239942918,54844.8203357755,164534.4610073265,-15948.279982748192,-16135.559492284554,54.8448203357755,38.80290857239912,93.64772890817463,54.79003030546428,38.84175032272359,93.63178062818787,0.0,98
p1-04_strategy,BTC,2019-07-10 00:00:00,2019-07-10 04:00:00,2019-07-20 12:00:00,GATE_OFF,12968.0,12980.967999999999,10568.2,10557.631800000001,4.218276417064269,4.218276417064269,54757.31118506592,164271.93355519776,-10123.01974567083,-10321.594263505185,54.75731118506592,44.535009241987794,99.29232042705371,54.702608576484955,44.579588830817364,99.28219740730232,0.0,62
p1-04_strategy,BTC,2019-07-29 20:00:00,2019-07-30 00:00:00,2019-08-25 20:00:00,GATE_OFF,9509.07,9518.579069999998,10061.23,10051.16877,4.835361322879213,4.835361322879213,46025.76908384558,138077.30725153675,2669.8931080409857,2480.636834539819,46.02576908384558,48.60103272018944,94.62680180403501,45.979789294542556,48.64968240258884,94.6294716971314,0.0,160
p1-04_strategy,ETH,2019-07-29 20:00:00,2019-07-30 00:00:00,2019-08-01 12:00:00,GATE_OFF,210.84,211.05084,213.58,213.36642,218.0790613477093,218.0790613477093,46025.76908384558,138077.30725153675,597.5366280927256,412.4229951949645,46.02576908384558,46.53074859672111,92.55651768056669,45.97978929454893,46.57732592264538,92.55711521719431,0.0,15
p1-04_strategy,ETH,2019-08-06 04:00:00,2019-08-06 08:00:00,2019-08-09 00:00:00,GATE_OFF,233.24,233.47323999999998,221.38,221.15861999999998,216.06844849653146,216.06844849653146,50446.20073225832,151338.60219677497,-2562.571799168866,-2759.0324378516466,50.446200732258326,47.78539989503397,98.2316006272923,50.39580492732378,47.833233128164416,98.22903805548819,0.0,16
p1-04_strategy,ETH,2019-08-09 20:00:00,2019-08-10 00:00:00,2019-08-12 12:00:00,GATE_OFF,210.52,210.73051999999998,210.91,210.69908999999998,232.68722341773946,232.68722341773946,49034.29958817641,147102.89876452924,90.74801713291522,-105.37464524894042,49.03429958817641,49.02698622874439,98.0612858169208,48.98531427389648,49.07606229103836,98.06137656493485,0.0,15
p1-04_strategy,BTC,2019-08-30 04:00:00,2019-08-30 08:00:00,2019-09-10 04:00:00,GATE_OFF,9470.62,9480.090619999999,10310.75,10300.43925,4.855999994585528,4.855999994585528,46035.31999939031,138105.95999817093,4079.671275451136,3887.5586898966285,46.03531999939031,50.01893294222856,96.05425294161887,45.98933066871302,50.06900194417542,96.05833261288845,0.0,65
p1-04_strategy,BTC,2019-09-19 12:00:00,2019-09-19 16:00:00,2019-09-20 08:00:00,GATE_OFF,9882.01,9891.89201,10157.25,10147.09275,4.784845290281583,4.784845290281583,47331.172896022515,141993.51868806756,1316.9808176971017,1125.2126170144652,47.331172896022515,48.55226895488789,95.8834418509104,47.28388900701241,48.60086982471358,95.88475883172599,0.0,4
p1-04_strategy,BTC,2019-10-26 00:00:00,2019-10-26 04:00:00,2019-10-26 12:00:00,GATE_OFF,9554.05,9563.604049999998,9224.13,9214.905869999999,4.988312305585328,4.988312305585328,47706.24376836068,143118.73130508204,-1645.7439958587117,-1833.088494343697,47.70624376836068,45.96682834613147,93.67307211449216,47.65858518317164,46.01284118732136,93.671426370493,0.0,2
p1-04_strategy,BTC,2019-10-27 12:00:00,2019-10-27 16:00:00,2019-10-28 08:00:00,GATE_OFF,9523.98,9533.503979999998,9426.18,9416.75382,4.93996901548953,4.93996901548953,47095.214270246106,141285.64281073833,-483.12896971487254,-670.355859320973,47.09521427024611,46.51847209729267,93.61368636753878,47.04816610413268,46.565037134429005,93.61320323856168,0.0,4
p1-04_strategy,BTC,2020-01-14 16:00:00,2020-01-14 20:00:00,2020-01-23 20:00:00,GATE_OFF,8765.51,8774.27551,8369.9,8361.5301,5.3419524225925645,5.3419524225925645,46871.76231713911,140615.28695141734,-2113.329797901848,-2610.7475512079473,46.87176231713911,44.66689597427565,91.53865829141475,46.82493737975543,44.711607581855844,91.53654496161127,314.3425500530735,54
p1-04_strategy,ETH,2020-01-18 00:00:00,2020-01-18 04:00:00,2020-01-18 08:00:00,GATE_OFF,171.91,172.08190999999997,168.1,167.93189999999998,273.63033764620513,273.63033764620513,47086.83113610387,141260.49340831162,-1042.5315864320423,-1233.2064571456276,47.086831136103875,45.95126249856875,93.03809363467263,47.0397913447505,45.99725975832973,93.03705110308023,4.599725975832708,1
p1-04_strategy,ETH,2020-01-18 12:00:00,2020-01-18 16:00:00,2020-01-18 20:00:00,GATE_OFF,175.54,175.71553999999998,174.95,174.77505,265.3463778402448,265.3463778402448,46625.482069242644,139876.44620772795,-156.55436292574535,-342.5570234185576,46.62548206924264,46.375926454347685,93.00140852359033,46.57890316607229,46.42234880314964,93.00125196922193,0.0,1
p1-04_strategy,ETH,2020-01-19 00:00:00,2020-01-19 04:00:00,2020-01-19 12:00:00,GATE_OFF,176.26,176.43625999999998,166.61,166.44339000000002,266.165453545145,266.165453545145,46961.23716470912,140883.71149412738,-2568.496626710643,-2760.3477781348633,46.96123716470912,44.30148038894146,91.26271755365057,46.91432284186326,44.34582621515434,91.2601490570176,9.32828481355221,2
p1-04_strategy,ETH,2020-01-21 00:00:00,2020-01-21 04:00:00,2020-01-21 12:00:00,GATE_OFF,168.32,168.48832,167.92,167.75207999999998,267.96914277052554,267.96914277052554,45149.67067724599,135449.01203173798,-107.18765710821174,-294.8979989705812,45.149670677245986,44.95238107557262,90.1020517528186,45.104566111133316,44.99737845402917,90.10194456516248,7.506345544388421,2
p1-04_strategy,BTC,2020-01-28 20:00:00,2020-01-29 00:00:00,2020-01-31 20:00:00,GATE_OFF,9375.34,9384.715339999999,9303.72,9294.41628,4.737260723439973,4.737260723439973,44457.84338084661,133373.53014253982,-339.2826130127747,-700.8680845226513,44.457843380846604,44.03007319054506,88.48791657139166,44.413429950889494,44.0741473378824,88.48757728877189,184.60997764971313,17
p1-04_strategy,ETH,2020-01-30 16:00:00,2020-01-30 20:00:00,2020-01-31 12:00:00,GATE_OFF,181.49,181.67148999999998,180.86,180.67914000000002,245.49176827383488,245.49176827383488,44598.85532504231,133796.56597512693,-154.65981401251486,-429.1545178590694,44.59885532504231,44.355241568795776,88.95409689383808,44.55430102401048,44.39964121000469,88.95394223401516,96.58666471870129,4
p1-04_strategy,BTC,2020-01-31 20:00:00,2020-02-01 00:00:00,2020-02-02 20:00:00,GATE_OFF,9351.71,9361.061709999998,9437.9,9428.462099999999,4.7089924781675965,4.7089924781675965,44081.16918005269,132243.50754015808,405.8680616932675,121.16529190362573,44.08116918005269,44.39855710958825,88.47972628964095,44.037132048,44.44300010970177,88.48013215770177,107.7429113422991,11
p1-04_strategy,ETH,2020-02-01 04:00:00,2020-02-01 08:00:00,2020-02-01 12:00:00,GATE_OFF,183.13,183.31312999999997,180.92,180.73908,240.8666328127669,240.8666328127669,44154.016373469,132462.049120407,-532.3152585162169,-707.690786182442,44.154016373469,43.5340136172773,87.6880299907463,44.1099064669965,43.57759120848247,87.68749767547897,0.0,1
p1-04_strategy,ETH,2020-02-01 12:00:00,2020-02-01 16:00:00,2020-02-02 04:00:00,GATE_OFF,181.48,181.66147999999998,180.58,180.39942000000002,240.94693938973654,240.94693938973654,43770.777611009835,131312.3328330295,-216.8522454507574,-406.90123049490376,43.770777611009834,43.466688116683635,87.23746572769346,43.7270505604478,43.51019831499669,87.2372488754445,15.574270441008336,3
