symbol,extreme_threshold_abs,extreme_periods,usable_windows,negative_extreme_periods,positive_extreme_periods,median_abs_return_24h,p90_abs_return_24h,max_abs_return_24h,median_high_low_range_24h,p90_high_low_range_24h,max_high_low_range_24h,worst_24h_return,best_24h_return
BTCUSDT,0.001,92,92,3,89,0.021675096819788797,0.07892004411736568,0.1323817718999769,0.07179567966594524,0.17682272915347205,0.26178060707177897,-0.12798428692885788,0.1323817718999769
ETHUSDT,0.001,151,151,7,144,0.030885712340046334,0.08389285808112867,0.22215819291223227,0.09186466433504736,0.21153315514062276,0.44859298181367446,-0.22215819291223227,0.17536137954447018
SOLUSDT,0.001,218,218,122,96,0.0549998555068556,0.15367982134250685,0.5180595843373494,0.14034038588709463,0.3582638872038563,1.4016775372772643,-0.3777612383387108,0.5180595843373494
