symbol,signal_time,entry_time,entry_price,period,sweep_low,ref_low,atr14,sweep_distance,ref_distance,atr35_distance,compound_distance,atr35_stop_price,atr19_stop_price,compound_stop_price
BTC,2019-07-22 16:00:00,2019-07-22 20:00:00,10168.831875,2019-2020,10100.0,10121.84,268.0285714285713,0.006768906777702022,0.004621167463249038,0.0922524840150334,0.0922524840150334,9230.731875,9659.577589285715,9230.731875
ETH,2019-07-22 16:00:00,2019-07-22 20:00:00,213.636765,2019-2020,212.25,212.52,6.266428571428569,0.006491228230309502,0.0052274008174575505,0.10266257308286797,0.10266257308286797,191.70426500000002,201.7305507142857,191.70426500000002
BTC,2019-08-13 16:00:00,2019-08-13 20:00:00,10941.74814,2019-2020,10788.45,10911.0,159.81642857142847,0.01401038828883142,0.002810167041552804,0.051121401520397236,0.051121401520397236,10382.39064,10638.096925714286,10382.39064
BTC,2019-08-14 08:00:00,2019-08-14 12:00:00,10559.99736,2019-2020,10410.0,10541.0,169.98857142857145,0.014204299005620149,0.001798992873990585,0.05634092317613989,0.05634092317613989,9965.037359999998,10237.019074285714,9965.037359999998
BTC,2019-08-16 04:00:00,2019-08-16 08:00:00,9942.538784999999,2019-2020,9750.0,9911.0,286.2414285714286,0.019365153022131144,0.003172105805368385,0.1007634993097993,0.1007634993097993,8940.693784999998,9398.680070714285,8940.693784999998
BTC,2019-08-21 16:00:00,2019-08-21 20:00:00,10112.19357,2019-2020,9858.0,9921.16,234.7785714285714,0.025137332294955215,0.01889140755441449,0.08126080600729639,0.08126080600729639,9290.468569999999,9666.114284285713,9290.468569999999
BTC,2019-10-30 08:00:00,2019-10-30 12:00:00,9100.778115,2019-2020,9018.0,9072.0,221.34214285714305,0.009095718404953022,0.003162159832527591,0.08512431466965842,0.08512431466965842,8326.080614999999,8680.228043571427,8326.080614999999
BTC,2019-10-30 12:00:00,2019-10-30 16:00:00,9098.26686,2019-2020,9001.01,9018.0,208.1035714285716,0.010689602920703901,0.008822214300273858,0.08005508205108865,0.08005508205108865,8369.904359999999,8702.870074285715,8369.904359999999
BTC,2019-10-31 08:00:00,2019-10-31 12:00:00,9114.084765,2019-2020,8913.0,9001.01,197.35928571428576,0.022063078211891046,0.012406595715922047,0.07579011143857846,0.07579011143857846,8423.327265,8739.102122142856,8423.327265
BTC,2019-11-07 20:00:00,2019-11-08 00:00:00,9218.607,2019-2020,9101.0,9119.0,107.98357142857132,0.01275756738518086,0.010804994724257144,0.04099778849450895,0.04099778849450895,8840.6645,9013.438214285714,8840.6645
BTC,2019-11-11 08:00:00,2019-11-11 12:00:00,8730.533085,2019-2020,8618.68,8696.0,123.74071428571435,0.012811713089109592,0.0039554383064340825,0.04960665010755185,0.04960665010755185,8297.440584999998,8495.425727857142,8297.440584999998
BTC,2019-11-12 12:00:00,2019-11-12 16:00:00,8707.961805,2019-2020,8567.6,8618.68,136.1757142857141,0.016118789694209098,0.01025289350129396,0.05473324420489914,0.05473324420489914,8231.346805000001,8449.227947857144,8231.346805000001
