,PORTFOLIO
2020-09-13 08:00:00,1.0
2020-09-13 12:00:00,1.0
2020-09-13 16:00:00,1.0
2020-09-13 20:00:00,1.0
2020-09-14 00:00:00,1.0
2020-09-14 04:00:00,1.0
2020-09-14 08:00:00,1.0
2020-09-14 12:00:00,1.0
2020-09-14 16:00:00,1.0
2020-09-14 20:00:00,1.0
2020-09-15 00:00:00,1.0
2020-09-15 04:00:00,1.0
2020-09-15 08:00:00,1.0
2020-09-15 12:00:00,1.0
2020-09-15 16:00:00,1.0
2020-09-15 20:00:00,1.0
2020-09-16 00:00:00,1.0
2020-09-16 04:00:00,1.0
2020-09-16 08:00:00,1.0
2020-09-16 12:00:00,1.0
2020-09-16 16:00:00,1.0
2020-09-16 20:00:00,1.0
2020-09-17 00:00:00,1.0
2020-09-17 04:00:00,1.0
2020-09-17 08:00:00,1.0
2020-09-17 12:00:00,1.0
2020-09-17 16:00:00,1.0
2020-09-17 20:00:00,1.0
2020-09-18 00:00:00,1.0
2020-09-18 04:00:00,1.0
2020-09-18 08:00:00,1.0
2020-09-18 12:00:00,1.0
2020-09-18 16:00:00,1.0
2020-09-18 20:00:00,1.0
2020-09-19 00:00:00,1.0
2020-09-19 04:00:00,1.0
2020-09-19 08:00:00,1.0
2020-09-19 12:00:00,1.0
2020-09-19 16:00:00,1.0
2020-09-19 20:00:00,1.0
2020-09-20 00:00:00,1.0
2020-09-20 04:00:00,1.0
2020-09-20 08:00:00,1.0
2020-09-20 12:00:00,1.0
2020-09-20 16:00:00,1.0
2020-09-20 20:00:00,1.0
2020-09-21 00:00:00,1.0
2020-09-21 04:00:00,1.0
2020-09-21 08:00:00,1.0
2020-09-21 12:00:00,1.0
2020-09-21 16:00:00,1.0
2020-09-21 20:00:00,1.0
2020-09-22 00:00:00,1.0
2020-09-22 04:00:00,1.0
2020-09-22 08:00:00,1.0
2020-09-22 12:00:00,1.0
2020-09-22 16:00:00,1.0
2020-09-22 20:00:00,1.0
2020-09-23 00:00:00,1.0
2020-09-23 04:00:00,1.0
2020-09-23 08:00:00,1.0
2020-09-23 12:00:00,1.0
2020-09-23 16:00:00,1.0
2020-09-23 20:00:00,1.0
2020-09-24 00:00:00,1.0
2020-09-24 04:00:00,1.0
2020-09-24 08:00:00,1.0
2020-09-24 12:00:00,1.0
2020-09-24 16:00:00,1.0
2020-09-24 20:00:00,1.0
2020-09-25 00:00:00,1.0
2020-09-25 04:00:00,1.0
2020-09-25 08:00:00,1.0
2020-09-25 12:00:00,1.0
2020-09-25 16:00:00,1.0
2020-09-25 20:00:00,1.0
2020-09-26 00:00:00,1.0
2020-09-26 04:00:00,1.0
2020-09-26 08:00:00,1.0
2020-09-26 12:00:00,1.0
2020-09-26 16:00:00,1.0
2020-09-26 20:00:00,1.0
2020-09-27 00:00:00,1.0
2020-09-27 04:00:00,1.0
2020-09-27 08:00:00,1.0
2020-09-27 12:00:00,1.0
2020-09-27 16:00:00,1.0
2020-09-27 20:00:00,1.0
2020-09-28 00:00:00,1.0
2020-09-28 04:00:00,1.0
2020-09-28 08:00:00,1.0
2020-09-28 12:00:00,1.0
2020-09-28 16:00:00,1.0
2020-09-28 20:00:00,1.0
2020-09-29 00:00:00,1.0
2020-09-29 04:00:00,1.0
2020-09-29 08:00:00,1.0
2020-09-29 12:00:00,1.0
2020-09-29 16:00:00,1.0
2020-09-29 20:00:00,1.0
2020-09-30 00:00:00,1.0
2020-09-30 04:00:00,1.0
2020-09-30 08:00:00,1.0
2020-09-30 12:00:00,1.0
2020-09-30 16:00:00,1.0
2020-09-30 20:00:00,1.0
2020-10-01 00:00:00,1.0
2020-10-01 04:00:00,1.0
2020-10-01 08:00:00,1.0
2020-10-01 12:00:00,1.0
2020-10-01 16:00:00,1.0
2020-10-01 20:00:00,1.0
2020-10-02 00:00:00,1.0
2020-10-02 04:00:00,1.0
2020-10-02 08:00:00,1.0
2020-10-02 12:00:00,1.0
2020-10-02 16:00:00,1.0
2020-10-02 20:00:00,1.0
2020-10-03 00:00:00,1.0
2020-10-03 04:00:00,1.0
2020-10-03 08:00:00,1.0
2020-10-03 12:00:00,1.0
2020-10-03 16:00:00,1.0
2020-10-03 20:00:00,1.0
2020-10-04 00:00:00,1.0
2020-10-04 04:00:00,1.0
2020-10-04 08:00:00,1.0001848271416307
2020-10-04 12:00:00,0.9999202071631766
2020-10-04 16:00:00,1.0024607350893195
2020-10-04 20:00:00,1.0028409020307318
2020-10-05 00:00:00,1.0024525454598538
2020-10-05 04:00:00,1.001938654602603
2020-10-05 08:00:00,1.0011538601560974
2020-10-05 12:00:00,1.00537397315063
2020-10-05 16:00:00,1.0044469615987455
2020-10-05 20:00:00,1.007202415517498
2020-10-06 00:00:00,1.006720001661818
2020-10-06 04:00:00,1.0033168985511791
2020-10-06 08:00:00,0.9976770815499455
2020-10-06 12:00:00,0.9982633705029816
2020-10-06 16:00:00,0.9957055532860015
2020-10-06 20:00:00,0.9961032316120911
2020-10-07 00:00:00,0.9957391034988401
2020-10-07 04:00:00,0.9963893055088392
2020-10-07 08:00:00,0.996114530675686
2020-10-07 12:00:00,0.9965842650352598
2020-10-07 16:00:00,0.9969461766248048
2020-10-07 20:00:00,0.997169434040677
2020-10-08 00:00:00,0.9967531381269464
2020-10-08 04:00:00,0.9959988838445281
2020-10-08 08:00:00,0.9961733177221433
2020-10-08 12:00:00,1.0007986909872282
2020-10-08 16:00:00,1.0019879118657535
2020-10-08 20:00:00,1.0022612362259895
2020-10-09 00:00:00,1.00095838983034
2020-10-09 04:00:00,1.0014493503515745
2020-10-09 08:00:00,1.010754886525659
2020-10-09 12:00:00,1.0135431793934206
2020-10-09 16:00:00,1.012676349577599
2020-10-09 20:00:00,1.0135131514258067
2020-10-10 00:00:00,1.0171427875508743
2020-10-10 04:00:00,1.0171427875508743
2020-10-10 08:00:00,1.0171427875508743
2020-10-10 12:00:00,1.0171427875508743
2020-10-10 16:00:00,1.0171427875508743
2020-10-10 20:00:00,1.0171427875508743
2020-10-11 00:00:00,1.0171427875508743
2020-10-11 04:00:00,1.0171427875508743
2020-10-11 08:00:00,1.0171427875508743
2020-10-11 12:00:00,1.0171427875508743
2020-10-11 16:00:00,1.0171427875508743
2020-10-11 20:00:00,1.0171427875508743
2020-10-12 00:00:00,1.0171427875508743
2020-10-12 04:00:00,1.0171427875508743
2020-10-12 08:00:00,1.0171427875508743
2020-10-12 12:00:00,1.0171427875508743
2020-10-12 16:00:00,1.0171427875508743
2020-10-12 20:00:00,1.0171427875508743
2020-10-13 00:00:00,1.0171427875508743
2020-10-13 04:00:00,1.0171427875508743
2020-10-13 08:00:00,1.0171427875508743
2020-10-13 12:00:00,1.0171427875508743
2020-10-13 16:00:00,1.0171427875508743
2020-10-13 20:00:00,1.0171427875508743
2020-10-14 00:00:00,1.0171427875508743
2020-10-14 04:00:00,1.0171427875508743
2020-10-14 08:00:00,1.0171427875508743
2020-10-14 12:00:00,1.0171427875508743
2020-10-14 16:00:00,1.0171427875508743
2020-10-14 20:00:00,1.0171427875508743
2020-10-15 00:00:00,1.0171427875508743
2020-10-15 04:00:00,1.0171427875508743
2020-10-15 08:00:00,1.0171427875508743
2020-10-15 12:00:00,1.0171427875508743
2020-10-15 16:00:00,1.0171427875508743
2020-10-15 20:00:00,1.0171427875508743
2020-10-16 00:00:00,1.0171427875508743
2020-10-16 04:00:00,1.0171427875508743
2020-10-16 08:00:00,1.0171427875508743
2020-10-16 12:00:00,1.0171427875508743
2020-10-16 16:00:00,1.0171427875508743
2020-10-16 20:00:00,1.0171427875508743
2020-10-17 00:00:00,1.0171427875508743
2020-10-17 04:00:00,1.0171427875508743
2020-10-17 08:00:00,1.0171427875508743
2020-10-17 12:00:00,1.0171427875508743
2020-10-17 16:00:00,1.0171427875508743
2020-10-17 20:00:00,1.0171427875508743
2020-10-18 00:00:00,1.0171427875508743
2020-10-18 04:00:00,1.0171427875508743
2020-10-18 08:00:00,1.017269905400295
2020-10-18 12:00:00,1.0208497133817882
2020-10-18 16:00:00,1.0202901219906468
2020-10-18 20:00:00,1.0247807207211594
2020-10-19 00:00:00,1.017456856036909
2020-10-19 04:00:00,1.020474268965495
2020-10-19 08:00:00,1.02168961171399
2020-10-19 12:00:00,1.0332124709414947
2020-10-19 16:00:00,1.0312864976679763
2020-10-19 20:00:00,1.0312153598677563
2020-10-20 00:00:00,1.0316373219321886
2020-10-20 04:00:00,1.0294445949899649
2020-10-20 08:00:00,1.0258884809027904
2020-10-20 12:00:00,1.027438549315434
2020-10-20 16:00:00,1.0261549243535586
2020-10-20 20:00:00,1.0261421612226949
2020-10-21 00:00:00,1.0306007013068392
2020-10-21 04:00:00,1.0310215056401273
