symbol,signal_time,entry_time,exit_time,entry_price,stop_price,atr14,atr_multiple,atr_risk_pct,exit_price,exit_reason,initial_quantity,initial_notional,nominal_pct_of_entry_equity,risk_budget,nominal_risk,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,expectancy_r,holding_bars,holding_hours
BTC,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-24 00:00:00,10173.91375,9664.659464285714,268.0285714285713,1.9,0.05005490494887334,9641.18916,STOP_CLOSE,1.963655541155416,19978.062110424777,0.19978062110424777,1000.0,509.25428571428546,100000.0,9.989031055212388,19.455018313893156,7.889979746295709,-1046.0875930632467,-1073.4325911234355,-0.010734325911234355,-1.0734325911234355,8,32
ETH,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-26 16:00:00,213.74352999999996,201.8373157142857,6.266428571428569,1.9,0.05570327338429511,219.29048999999998,TIME_T24,83.98975325010352,17952.266343506097,0.17952266343506096,1000.0,11.906214285714281,100000.0,8.976133171753048,18.185210244350195,21.705807891437253,465.8878016881953,425.99678355240786,0.004259967835524079,0.4259967835524079,24,96
BTC,2019-08-13 16:00:00,2019-08-13 20:00:00,2019-08-14 00:00:00,10947.216279999999,10643.565065714285,159.81642857142847,1.9,0.027737756021178575,10646.17317,STOP_CLOSE,3.2719304095700186,35818.52984667197,0.36051943035207,993.52564192429,303.6512142857141,99352.564192429,17.909264923335986,35.32603379357171,3.5642315846393657,-984.9921062005279,-1023.882371578739,-0.010305545507568917,-1.0305545507568916,2,8
BTC,2019-08-14 08:00:00,2019-08-14 12:00:00,2019-08-14 16:00:00,10565.274719999998,10242.296434285712,169.98857142857145,1.9,0.030569795322301453,10127.632230000001,STOP_CLOSE,3.0444363033072186,32165.305911982003,0.3271202798242075,983.2868182085027,322.97828571428573,98328.68182085027,16.082652955991,31.499118569769124,3.200935551478726,-1332.374684425756,-1367.0747385470038,-0.013903112634396367,-1.3903112634396366,2,8
BTC,2019-08-16 04:00:00,2019-08-16 08:00:00,2019-08-20 04:00:00,9947.507569999998,9403.648855714284,286.2414285714286,1.9,0.05467286256970543,10797.93126,TIME_T24,1.7828455173261197,17734.86927974214,0.18290609874781022,969.6160708230327,543.8587142857143,96961.60708230328,8.86743463987107,18.49295631151436,20.46443149322925,1516.1740635444403,1477.2166757396967,0.015235067984030015,1.5235067984030017,24,96
BTC,2019-08-21 16:00:00,2019-08-21 20:00:00,2019-08-25 16:00:00,10117.247139999998,9671.167854285712,234.7785714285714,1.9,0.044090974505371805,10051.16877,TIME_T24,2.2067562182453178,22326.29803771965,0.22680378721912023,984.3882375804296,446.0792857142857,98438.82375804296,11.163149018859826,22.253388610775147,26.9027261498326,-145.81885388900923,-194.97496864961698,-0.0019806714587412622,-0.19806714587412622,24,96
BTC,2019-10-30 08:00:00,2019-10-30 12:00:00,2019-11-03 08:00:00,9105.326229999999,8684.776158571427,221.34214285714305,1.9,0.04618726016020755,9147.36348,TIME_T24,2.3360797075998017,21270.7678369792,0.2165099199500788,982.4384878939336,420.55007142857175,98243.84878939336,10.6353839184896,21.319869020323353,25.738526748704615,98.20236668830262,51.14397091927465,0.0005205819147915576,0.05205819147915577,24,96
BTC,2019-11-07 20:00:00,2019-11-08 00:00:00,2019-11-08 08:00:00,9223.213999999998,9018.045214285712,107.98357142857132,1.9,0.02224482547128209,9017.24373,STOP_CLOSE,4.790933105058024,44187.80128763463,0.4495427492973558,982.9499276031264,205.16878571428552,98294.99276031264,22.093900643817317,43.69440639503427,4.38103045045547,-986.78978520073,-1034.8652220462197,-0.010528158077896055,-1.0528158077896055,3,12
BTC,2019-11-11 08:00:00,2019-11-11 12:00:00,2019-11-15 08:00:00,8734.89617,8499.788812857143,123.74071428571435,1.9,0.026915873133138483,8621.90946,TIME_T24,4.136838962430626,36134.85880884205,0.3715279809254312,972.6012753826641,235.10735714285724,97260.12753826642,18.067429404421027,35.90115489675962,43.25455239135377,-467.4078241648468,-546.5635314529602,-0.005619605333520851,-0.5619605333520852,24,96
BTC,2020-01-19 08:00:00,2020-01-19 12:00:00,2020-01-23 08:00:00,8689.841159999998,8358.771588571426,174.24714285714293,1.9,0.0380984606430449,8414.577,TIME_T24,2.921245935997457,25385.163173113422,0.2624777965097537,967.1356400681345,331.0695714285716,96713.56400681345,12.692581586556711,24.983106018750547,30.378425014147048,-804.1143087257503,-859.4758397586479,-0.008886817982409355,-0.8886817982409354,24,96
