symbol,signal_time,entry_time,exit_time,entry_price,sweep_low,tp1,tp2,exit_price,exit_reason,tp1_hit,initial_quantity,initial_notional,risk_budget,nominal_risk,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,expectancy_r,holding_bars,holding_hours
BTC,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-23 00:00:00,10168.831875,10100.0,10237.66375,10306.495625,10301.3423771875,TP2,True,4.81209489569415,48933.38396085947,331.22551434855706,68.83187499999985,100000.0,19.57335358434379,39.33555643285024,4.977188247375625,472.1231604066486,427.8104157264227,0.004278104157264227,1.2915986154261863,1,4
ETH,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-23 00:00:00,213.636765,212.25,215.02353,216.410295,216.3020898525,TP2,True,238.84761610551016,51026.63203274309,331.22551434855706,1.386764999999997,100000.0,20.410652813097236,41.009736240742754,5.197085278839796,471.0765363707027,424.86971485112014,0.004248697148511202,1.282720371607662,1,4
BTC,2019-08-13 16:00:00,2019-08-13 20:00:00,2019-08-14 00:00:00,10941.74814,10788.45,11095.046279999999,11248.344419999998,10783.055775,STOP,False,6.578858695257375,71984.2148921552,1008.5268013057755,153.29813999999897,100852.68013057754,28.79368595686208,57.16976605558368,7.166587615656888,-1044.0146453512002,-1108.3509990224409,-0.010989802131063046,-1.0989802131063047,1,4
BTC,2019-08-14 08:00:00,2019-08-14 12:00:00,2019-08-14 16:00:00,10559.99736,10410.0,10709.994719999999,10859.992079999998,10404.795,STOP,False,6.649738977509705,70221.22604719158,997.4432913155512,149.9973599999994,99744.3291315551,28.088490418876635,55.76415876467588,6.991568809648592,-1032.0551826934886,-1094.8109102678131,-0.01097617197689346,-1.0976171976893458,1,4
BTC,2019-08-16 04:00:00,2019-08-16 08:00:00,2019-08-16 12:00:00,9942.538784999999,9750.0,10135.077569999998,10327.616354999996,10322.452546822497,TP2,True,5.123617987995919,50941.77056517309,986.4951822128728,192.53878499999882,98649.51822128729,20.376708226069237,41.3348292587985,0.0,1453.5320166500665,1412.197187391268,0.014315297356277753,1.4315297356277754,1,4
BTC,2019-08-21 16:00:00,2019-08-21 20:00:00,2019-08-22 00:00:00,10112.19357,9858.0,10366.387139999999,10620.580709999998,9853.071,STOP,False,3.9364377080300956,39806.02007984747,1000.6171540867855,254.19356999999945,100061.71540867854,15.92240803193899,31.43680812165811,3.9918706238345756,-1020.0198555496662,-1055.4485342951589,-0.010547975616692434,-1.0547975616692433,1,4
BTC,2019-10-30 08:00:00,2019-10-30 12:00:00,2019-10-30 16:00:00,9100.778115,9018.0,9183.556229999998,9266.334344999997,9013.491,STOP,False,10.874529512941814,98966.68020230246,900.1730545931823,82.77811499999916,99006.26687438338,39.58667208092099,78.79366163857517,9.888992652242925,-949.2063081670372,-1037.8889624578553,-0.010483063297141607,-1.1529882583820634,1,4
BTC,2019-10-31 08:00:00,2019-10-31 12:00:00,2019-11-08 12:00:00,9114.084765,8913.0,9315.16953,9516.254294999999,8908.5435,STOP,True,4.87199405245473,44403.76676864827,979.6837791192552,201.0847649999996,97968.37791192552,17.761506707459308,35.51413266156489,67.43657532799051,-22.201883384325072,-125.15259137388047,-0.0012774794687975114,-0.12774794687975116,48,192
BTC,2019-11-11 08:00:00,2019-11-11 12:00:00,2019-11-12 12:00:00,8730.533085,8618.68,8842.386169999998,8954.239254999997,8614.37066,STOP,False,8.747476685202976,76370.1346104307,978.4322532055164,111.85308499999883,97843.22532055165,30.548053844172284,60.68965644659092,22.94396653705933,-1016.1281043841273,-1099.7617273677777,-0.01124003960176869,-1.1240039601768692,6,24
BTC,2019-11-12 12:00:00,2019-11-12 16:00:00,2019-11-15 00:00:00,8707.961805,8567.6,8848.323610000001,8988.685415000002,8563.316200000001,STOP,False,6.892435131707203,60019.06187034648,967.4346359318389,140.36180500000046,96743.46359318389,24.007624748138593,47.616465316457564,42.07957090226645,-996.9604495490411,-1086.656485767765,-0.011232350439067037,-1.1232350439067036,14,56
BTC,2020-01-19 08:00:00,2020-01-19 12:00:00,2020-01-19 20:00:00,8685.50058,8524.2,8846.801159999999,9008.101739999998,8519.9379,STOP,False,5.930344894445923,51508.014020310104,956.5680710741614,161.30057999999917,95656.80710741613,20.603205608124043,40.81367369862858,47.32894561668658,-981.8437940487788,-1069.986413364094,-0.011185679782961725,-1.1185679782961724,2,8
BTC,2020-01-19 20:00:00,2020-01-20 00:00:00,2020-01-23 08:00:00,8706.070859999998,8466.0,8946.141719999996,9186.212579999994,8461.767,STOP,False,3.9399542574243633,34301.520950295184,945.8682069405204,240.070859999998,94586.82069405203,13.720608380118074,27.056198346911266,42.83449988988689,-962.5460333121983,-1032.4367315489965,-0.010915228189014707,-1.0915228189014707,20,80
BTC,2020-01-23 16:00:00,2020-01-23 20:00:00,2020-01-24 00:00:00,8374.084949999999,8306.39,8441.779899999998,8509.474849999997,8302.236805,STOP,False,11.167426379121505,93516.97717163437,755.9783703633018,67.69494999999915,93554.38396250304,37.40679086865375,74.49263818940193,51.35753432155114,-802.3588697639258,-928.2090422748788,-0.00992159857144598,-1.2278248673024967,1,4
BTC,2020-01-24 00:00:00,2020-01-24 04:00:00,2020-01-24 08:00:00,8324.750295,8275.5,8374.00059,8423.250885,8271.36225,STOP,False,11.122152134717256,92589.13926452235,547.7692736697027,49.250294999999824,92626.17492022816,37.03565570580894,73.83379542815183,39.066808255817115,-593.7899586651275,-706.6905623490965,-0.007629490939874339,-1.290124503725306,1,4
BTC,2020-01-24 08:00:00,2020-01-24 12:00:00,2020-01-27 12:00:00,8417.62671,8238.0,8597.253420000001,8776.880130000001,8772.491689935001,TP2,True,5.1172503442210155,43075.103179271515,919.1948435787908,179.62671000000046,91919.48435787908,17.230041271708608,35.00270867047556,37.96018749864405,1356.5653176458688,1283.6024214767492,0.013964421476508452,1.396442147650845,18,72
BTC,2020-02-02 04:00:00,2020-02-02 08:00:00,2020-02-04 08:00:00,9375.215265,9120.0,9630.430530000001,9885.645795000002,9115.44,STOP,False,3.6519401290261992,34237.72484451249,932.0308677935583,255.21526500000073,93203.08677935583,13.695089937804998,27.010706389697226,111.07562800512123,-948.6837147819159,-1086.7700491767343,-0.011660236658786823,-1.1660236658786822,12,48
BTC,2020-02-04 08:00:00,2020-02-04 12:00:00,2020-02-05 08:00:00,9187.401404999999,9108.0,9266.802809999997,9346.204214999996,9341.531112892497,TP2,True,10.022364418092458,92079.48493620464,795.7898162185356,79.4014049999987,92116.31673017913,36.831793974481855,74.12240720476274,49.1072462123148,1147.048139497546,1023.8184860804683,0.011114409720477296,1.2865438401128177,5,20
ETH,2020-02-16 12:00:00,2020-02-16 16:00:00,2020-02-16 20:00:00,258.96941999999996,256.06,261.8788399999999,264.78825999999987,255.93197,STOP,False,320.13299976029947,82904.65727078488,931.4013521625959,2.9094199999999546,93140.13521625959,33.16186290831396,65.93477062457914,0.0,-972.3879801219056,-1038.3227507464846,-0.011147962672972621,-1.1147962672972622,1,4
BTC,2020-02-17 12:00:00,2020-02-17 16:00:00,2020-02-18 16:00:00,9640.087635,9452.67,9827.50527,10014.922905,10009.9154435475,TP2,True,4.914255398939018,47373.852706544014,921.0181246551311,187.4176349999998,92101.81246551311,18.949541082617607,38.44194196404959,26.74059160583713,1357.1494970359363,1291.9669634660495,0.01402759542815531,1.402759542815531,6,24
BTC,2020-02-19 20:00:00,2020-02-20 00:00:00,2020-02-25 16:00:00,9599.447325,9350.0,9848.894649999998,10098.341974999998,9345.325,STOP,True,3.7440281000800257,35940.600530038035,933.9377942897917,249.44732499999918,93393.77942897916,14.376240212015215,28.745292303924423,92.19617355024056,-17.970300265017784,-138.91176611918277,-0.0014873770712407837,-0.14873770712407836,34,136
ETH,2020-02-25 04:00:00,2020-02-25 08:00:00,2020-02-25 12:00:00,257.75881499999997,254.85,260.6676299999999,263.5764449999999,254.722575,STOP,False,293.8609298413255,75745.2450506982,854.7870806363882,2.9088149999999757,93597.22922594237,30.29809802027928,60.23930311670999,0.0,-892.2323096214155,-952.4716127381255,-0.01017628000973055,-1.1142793735593328,1,4
