symbol,datetime,period,close,ref_low,future_ret_6,future_ret_12,future_ret_24,signal_time,entry_time,raw_entry_open,sweep_low,atr14_previous,atr50_previous,bbw_previous,bbw_historical_median,scheme_a_group,scheme_b_group,mae_first6,sweep_stop_hit_first6
BTC,2019-07-22 16:00:00,2019-2020,10162.66,10121.84,-0.0013164666052194,-0.0516597181450261,-0.0323661390238041,2019-07-22 16:00:00,2019-07-22 20:00:00,10163.75,10100.0,257.57714285714275,379.8562,0.054746107114411934,0.061163371503910394,compression,compression,0.029330003550678226,True
BTC,2019-08-13 16:00:00,2019-2020,10936.18,10911.0,-0.0758085058140319,-0.0605221575566133,-0.0681194822446276,2019-08-13 16:00:00,2019-08-13 20:00:00,10936.28,10788.45,171.6878571428571,248.02300000000002,0.03947488158841308,0.06440234045279111,compression,compression,0.07692995024467815,True
BTC,2019-08-14 08:00:00,2019-2020,10556.7,10541.0,-0.0447610926652207,-0.0162981326867646,-0.0162615457827539,2019-08-14 08:00:00,2019-08-14 12:00:00,10554.72,10410.0,166.07071428571427,248.87879999999998,0.09604901420387697,0.06440234045279111,compression,expansion,0.061458098697857955,True
BTC,2019-08-16 04:00:00,2019-2020,9937.0,9911.0,0.0414930383146641,0.0201646468166351,0.0840899018664868,2019-08-16 04:00:00,2019-08-16 08:00:00,9937.57,9750.0,258.5521428571428,226.68119999999996,0.18591493493686181,0.06458058094425931,expansion,expansion,0.013330477040728872,False
BTC,2019-08-21 16:00:00,2019-2020,10106.28,9921.16,0.0054215008826328,0.0290150724138198,-0.0044675891997291,2019-08-21 16:00:00,2019-08-21 20:00:00,10107.14,9858.0,223.66285714285706,243.77979999999997,0.09767443650892943,0.06498516650943555,compression,expansion,0.03463082145093861,True
BTC,2019-10-30 08:00:00,2019-2020,9097.69,9072.0,0.0013005831388825,0.0071705622161222,0.0064456586926143,2019-10-30 08:00:00,2019-10-30 12:00:00,9096.23,9018.0,231.63785714285729,267.3206,0.0652111492940005,0.06232635537155744,compression,expansion,0.02063319340689136,True
BTC,2019-10-30 12:00:00,2019-2020,9093.72,9018.0,0.0131378305041758,-0.0012422874428265,0.0091903839836827,2019-10-30 12:00:00,2019-10-30 16:00:00,9093.72,9001.01,221.34214285714305,270.9666,0.06640174973523905,0.06244437065100215,compression,expansion,0.020362873814409058,True
BTC,2019-10-31 08:00:00,2019-2020,9109.53,9001.01,0.0058699790772395,0.0143441363832473,0.0164045284135344,2019-10-31 08:00:00,2019-10-31 12:00:00,9109.53,8913.0,188.87428571428583,276.37940000000003,0.06236699320712973,0.06257252497127343,compression,compression,0.01109104946973791,False
BTC,2019-11-07 20:00:00,2019-2020,9216.2,9119.0,-0.0492007755740548,-0.0451423367544197,-0.0538229349427032,2019-11-07 20:00:00,2019-11-08 00:00:00,9214.0,9101.0,108.5592857142857,124.90499999999993,0.028556042487703062,0.061234508347479136,compression,compression,0.05669045225596448,True
BTC,2019-11-11 08:00:00,2019-2020,8726.74,8696.0,0.0025212439201817,0.0052949270012925,-0.0110847995801317,2019-11-11 08:00:00,2019-11-11 12:00:00,8726.17,8618.68,117.75714285714288,124.09979999999989,0.06136821588380653,0.06136821588380653,compression,expansion,0.0046426815642723294,False
BTC,2019-11-12 12:00:00,2019-2020,8705.27,8618.68,0.0052599590237336,-0.0071128974771476,-0.0251102629484148,2019-11-12 12:00:00,2019-11-12 16:00:00,8703.61,8567.6,121.68571428571418,122.60919999999992,0.04423682882626536,0.06127842565920292,compression,compression,0.0028217630658293183,False
BTC,2020-01-19 08:00:00,2019-2020,8681.44,8586.0,-0.0076535248186303,-0.0028468949105318,-0.0302213541968898,2020-01-19 08:00:00,2020-01-19 12:00:00,8681.16,8524.2,143.1614285714286,145.90739999999997,0.058173676461507236,0.06137189942810346,compression,compression,0.025272070156260342,True
BTC,2020-01-19 20:00:00,2019-2020,8701.7,8524.2,-0.0068438722969167,0.0039374441917409,-0.0347487525048119,2020-01-19 20:00:00,2020-01-20 00:00:00,8701.72,8466.0,159.5071428571429,154.03099999999995,0.060719555841765624,0.06135277268176689,expansion,compression,0.021225517569471906,False
BTC,2020-01-23 16:00:00,2019-2020,8370.98,8326.0,0.0151493080272113,-0.0009645098211608,0.0648828062544331,2020-01-23 16:00:00,2020-01-23 20:00:00,8369.9,8306.39,119.46000000000004,140.9013999999999,0.04311105827308135,0.06140888335331187,compression,compression,0.016250724803072197,True
BTC,2020-01-24 00:00:00,2019-2020,8320.57,8306.39,-0.002762035407003,0.0057821327716213,0.0908559767584659,2020-01-24 00:00:00,2020-01-24 04:00:00,8320.59,8275.5,123.47214285714277,136.3363999999999,0.05440690766740059,0.06137189942810346,compression,compression,0.010420768422580034,True
BTC,2020-01-24 08:00:00,2019-2020,8412.77,8275.5,-0.011516510903403,0.0078594193784144,0.0765579570486697,2020-01-24 08:00:00,2020-01-24 12:00:00,8413.42,8238.0,106.82857142857145,134.74439999999996,0.06554839784591181,0.06137189942810346,compression,expansion,0.01933166147730027,False
