symbol,datetime,period,close,ref_low,future_ret_6,future_ret_12,future_ret_24
BTC,2019-07-22 16:00:00,2019-2020,10162.66,10121.84,-0.0013164666052194068,-0.05165971814502619,-0.032366139023804176
ETH,2019-07-22 16:00:00,2019-2020,213.53,212.52,0.01607393150947654,-0.008607159879003123,0.027620451544225724
ETH,2019-07-23 04:00:00,2019-2020,212.51,212.25,-0.03028797489829248,0.03781526718192138,0.03591041831351159
BTC,2019-07-23 08:00:00,2019-2020,10025.0,9970.0,-0.030744102936690648,0.004123158908612057,-0.05107701642543176
ETH,2019-07-23 08:00:00,2019-2020,212.53,210.88,-0.02433743170901153,0.04399955025251701,-0.023181027995291766
BTC,2019-07-23 12:00:00,2019-2020,9932.36,9883.0,-0.0020862715828861684,0.005576246887919242,-0.052147009712423024
ETH,2019-07-23 12:00:00,2019-2020,209.6,209.12,0.030679126048939957,0.053368905990241085,-0.014077634173672979
BTC,2019-07-24 04:00:00,2019-2020,9710.82,9615.0,0.03402937342506236,0.005498294226974626,-0.022674455441200104
BTC,2019-07-24 16:00:00,2019-2020,9650.99,9593.06,0.021204548072275314,0.01929357912122192,-0.00992475867410595
BTC,2019-07-27 08:00:00,2019-2020,9525.81,9525.0,0.0009621847475854531,-0.0042975705741450584,0.024092752575573587
BTC,2019-07-28 20:00:00,2019-2020,9541.54,9333.0,-0.0035592120802121494,0.0034181271264349562,0.08374320425186699
ETH,2019-07-28 20:00:00,2019-2020,211.62,203.0,-0.0034555429523426867,-0.00968668542922001,0.024367540916121744
ETH,2019-08-09 04:00:00,2019-2020,216.65,215.51,-0.023632708297720916,-0.027705454976797012,-0.03074713785038241
ETH,2019-08-09 16:00:00,2019-2020,210.02,207.95,-0.016805504266398923,0.02571174047697261,-0.008319435983148975
BTC,2019-08-10 08:00:00,2019-2020,11395.23,11382.84,0.006534853304805002,-0.005916427065967436,-0.07643411734548776
BTC,2019-08-10 12:00:00,2019-2020,11413.87,11350.0,-0.003147616199559612,-0.0012940003506387262,-0.08211397125729067
BTC,2019-08-10 16:00:00,2019-2020,11329.1,11310.0,0.004758676553079247,0.010081326361100673,-0.11110658388449085
BTC,2019-08-11 08:00:00,2019-2020,11469.94,11270.0,-0.012451280370772476,-0.016663880149793545,-0.1277300633155135
BTC,2019-08-13 16:00:00,2019-2020,10936.18,10911.0,-0.0758085058140319,-0.06052215755661337,-0.06811948224462767
BTC,2019-08-14 08:00:00,2019-2020,10556.7,10541.0,-0.044761092665220735,-0.016298132686764617,-0.016261545782753992
BTC,2019-08-15 12:00:00,2019-2020,10094.59,9928.1,0.0284629599784561,0.021334811607185346,0.05897281108487591
BTC,2019-08-16 04:00:00,2019-2020,9937.0,9911.0,0.04149303831466415,0.020164646816635136,0.08408990186648686
