symbol,direction,side,signal_time,entry_time,exit_time,raw_entry_price,entry_price,raw_exit_price,exit_price,exit_reason,quantity,final_quantity,initial_notional,entry_equity,nominal_pct,gross_pnl,net_pnl,entry_fee,exit_fee,total_fees,entry_slippage_cost,exit_slippage_cost,total_slippage_cost,funding_cost,expectancy_r,holding_bars,holding_days
BTC,1,LONG,2019-07-20 00:00:00,2019-07-20 04:00:00,2019-07-20 12:00:00,10507.49,10517.997489999998,10568.2,10557.631800000001,ADX_EXIT,3.169171067498832,3.169171067498832,33333.33333333333,100000.0,0.33333333333333326,192.40037550785706,92.21177124468997,16.666666666666664,16.72947062093281,33.39613728759947,33.300033300027415,33.49243367554022,66.79246697556763,0.0,0.0027663531373406996,2,0.3333333333333333
ETH,1,LONG,2019-07-20 00:00:00,2019-07-20 04:00:00,2019-07-25 16:00:00,226.58,226.80658,221.02,220.79898,ADX_EXIT,146.9681053051165,146.9681053051165,33333.33333333333,100000.0,0.33333333333333326,-817.142665496448,-915.8174599696351,16.666666666666664,16.225203871951155,32.89187053861782,33.30003330003098,32.482890634538315,65.7829239345693,0.0,-0.02747452379908906,33,5.5
BTC,1,LONG,2019-07-29 20:00:00,2019-07-30 00:00:00,2019-08-25 20:00:00,9509.07,9518.579069999998,10061.23,10051.16877,ADX_EXIT,3.473081208932832,3.473081208932832,33058.798103758345,99176.39431127504,0.3333333333333333,1917.696520324352,1815.7436173978533,16.529399051879174,17.454262691449763,33.98366174332894,33.02577233142083,34.94346885174899,67.96924118316983,0.0,0.05492467123877161,160,26.666666666666668
ETH,1,LONG,2019-07-29 20:00:00,2019-07-30 00:00:00,2019-08-01 12:00:00,210.84,211.05084,213.58,213.36642,ADX_EXIT,156.63902642490476,156.63902642490476,33058.798103758345,99176.39431127504,0.3333333333333333,429.19093240424047,329.4700436068199,16.529399051879174,16.710754150283666,33.240153202162844,33.02577233142541,33.45496326383232,66.48073559525773,0.0,0.009966183361317165,15,2.5
ETH,1,LONG,2019-08-06 04:00:00,2019-08-06 08:00:00,2019-08-09 00:00:00,233.24,233.47323999999998,221.38,221.15861999999998,ADX_EXIT,155.26592601214242,155.26592601214242,36250.43880765516,108751.3164229655,0.3333333333333333,-1841.4538825040113,-1947.335296156409,18.125219403827582,17.16919896493376,35.29441836876134,36.21422458306691,34.37277070056973,70.58699528363664,0.0,-0.053718944106827794,16,2.6666666666666665
ETH,1,LONG,2019-08-09 20:00:00,2019-08-10 00:00:00,2019-08-12 12:00:00,210.52,210.73051999999998,210.91,210.69908999999998,ADX_EXIT,167.26470827356994,167.26470827356994,35247.77895213769,105743.33685641308,0.3333333333333333,65.23323622669,-40.50228016828552,17.623889476068847,17.62126091117833,35.24515038724718,35.21256638574761,35.27779962198074,70.49036600772834,0.0,-0.0011490732571627512,15,2.5
BTC,1,LONG,2019-08-30 04:00:00,2019-08-30 08:00:00,2019-09-10 04:00:00,9470.62,9480.090619999999,10310.75,10300.43925,ADX_EXIT,3.4927152203373844,3.4927152203373844,33111.256798651666,99333.770395955,0.3333333333333333,2934.334838062044,2830.700267112279,16.555628399325833,17.988250472317795,34.54387887164363,33.078178620025476,36.01251345809562,69.0906920781211,0.0,0.08549057150943147,65,10.833333333333334
BTC,1,LONG,2019-09-19 12:00:00,2019-09-19 16:00:00,2019-09-20 08:00:00,9882.01,9891.89201,10157.25,10147.09275,TREND_EXIT,3.442700700728309,3.442700700728309,34054.82355435576,102164.47066306729,0.3333333333333333,947.5689408684591,844.0856529868158,17.027411777177882,17.466701660390072,34.494113437567954,34.020802751601934,34.96837169247332,68.98917444407525,0.0,0.024786082113729044,4,0.6666666666666666
BTC,1,LONG,2019-10-27 12:00:00,2019-10-27 16:00:00,2019-10-28 08:00:00,9523.98,9533.503979999998,9426.18,9416.75382,TREND_EXIT,3.601633304052463,3.601633304052463,34336.1854386847,103008.5563160541,0.33333333333333326,-352.23973713632824,-454.6172043158756,17.16809271934235,16.957847087087625,34.125939806429976,34.3018835551228,33.949643817994634,68.25152737311743,0.0,-0.013240177920395413,4,0.6666666666666666
BTC,1,LONG,2020-01-29 00:00:00,2020-01-29 04:00:00,2020-01-31 20:00:00,9343.75,9353.093749999998,9303.72,9294.41628,TREND_EXIT,3.65490256853027,3.65490256853027,34184.64637057941,102553.93911173823,0.3333333333333333,-146.30574981826908,-390.96857742113696,17.092323185289704,16.985092967380776,34.07741615267048,34.15049587469806,34.00419012488602,68.15468599958407,142.43072545061327,-0.011436964220218443,16,2.6666666666666665
