experiment,strategy_ending_equity,benchmark_ending_equity,excess,passes_fifth,strategy_trades,benchmark_trades,strategy_funding_cost,benchmark_funding_cost
P1-04,1413672.4847788075,1694715.6139757996,-281043.12919699214,False,392,415,212159.79045509474,351320.8671077379
P1-06,954160.040243922,703090.2430209768,251069.79722294526,True,309,57,134242.87899777418,214543.83391856015
