symbol,direction,side,signal_time,entry_time,exit_time,raw_entry_price,entry_price,raw_exit_price,exit_price,exit_reason,quantity,final_quantity,initial_notional,entry_equity,nominal_pct,gross_pnl,net_pnl,entry_fee,exit_fee,total_fees,entry_slippage_cost,exit_slippage_cost,total_slippage_cost,funding_cost,expectancy_r,holding_bars,holding_days
BTC,1,LONG,2019-04-01 04:00:00,2019-04-01 08:00:00,2019-09-20 08:00:00,4128.85,10114.02684189534,10157.25,10147.09275,FLIP,34.35621767882982,6.793625044598545,245869.69971381006,100000.0,2.4586969971381007,54712.01927810531,53893.10637828331,122.93484985690513,150.01787941068048,272.9527292675856,245.6240756381408,300.3360949162785,545.9601705544193,0.0,0.21919376987491487,1029,171.5
ETH,1,LONG,2019-04-01 04:00:00,2019-04-01 08:00:00,2019-08-12 16:00:00,142.45,233.64789999702802,212.05,211.83795,FLIP,908.405536572772,196.46367346598,175690.72301409865,100000.0,1.7569072301409865,21103.07923408747,20544.889543357087,87.84536150704932,98.21083437666978,186.0561958837191,175.51520780627746,196.61828704038157,372.133494846659,0.0,0.11693781658413702,798,133.0
ETH,-1,SHORT,2019-08-12 12:00:00,2019-08-12 16:00:00,2019-08-12 20:00:00,212.05,211.83795,212.57,212.78256999999996,FLIP,196.44984952864792,196.44984952864792,41615.53340195724,179711.51834284607,0.23156853709601893,-102.15392175489335,-227.27877549213122,20.807766700978622,20.90055192940949,41.70831863038811,41.65719059255076,41.759344514299,83.41653510684976,0.0,-0.0054613928240901015,1,0.16666666666666666
ETH,1,LONG,2019-08-12 16:00:00,2019-08-12 20:00:00,2019-08-13 08:00:00,212.57,212.7645166375151,210.1,209.88989999999998,FLIP,197.5580297770964,197.5580297770964,42033.33871338373,179662.7267998858,0.2339569228524614,-484.40530984976607,-609.6529861856961,21.016669356691864,20.732717557055892,41.749386913747756,41.99134736601201,41.50694205617018,83.49828942218218,0.0,-0.014504034293892007,3,0.5
ETH,-1,SHORT,2019-08-13 04:00:00,2019-08-13 08:00:00,2019-11-13 00:00:00,210.1,179.44970926166204,187.09,187.27709,FLIP,1367.0832876385084,360.610037788649,252519.67157697867,178738.04222210078,1.412791974431478,-39.65486891294438,-798.0317031067228,126.25983578848941,126.53245549440126,252.7922912828907,252.77244402100044,252.81209888988735,505.58454291088776,0.0,-0.003160275388143173,549,91.5
BTC,-1,SHORT,2019-09-20 04:00:00,2019-09-20 08:00:00,2019-10-26 04:00:00,10157.25,8447.034001360418,9554.05,9563.604049999998,FLIP,18.921253799600898,6.842693553559054,168805.62078813705,168761.11373454618,1.0002637281338453,3187.3900782974833,2685.2489709594265,84.40281039406858,82.9764962552641,167.37930664933268,168.9745953835217,165.7872053052025,334.7618006887242,0.0,0.01590734335990863,215,35.833333333333336
BTC,1,LONG,2019-10-26 00:00:00,2019-10-26 04:00:00,2019-10-26 12:00:00,9554.05,9563.201888284153,9224.13,9214.905869999999,FLIP,5.229280658889665,5.229280658889665,50008.66667146143,176703.29293799092,0.2830092514971443,-1723.1433594140308,-1870.43562983708,25.004333335730717,24.093664519739917,49.09799785547064,49.9587079634918,48.23556460408661,98.19427256757841,0.0,-0.03740222954003462,2,0.3333333333333333
BTC,-1,SHORT,2019-10-26 08:00:00,2019-10-26 12:00:00,2019-10-27 16:00:00,9224.13,9203.990465441037,9523.98,9533.503979999998,FLIP,5.873317285689792,5.479425137423361,54058.307915171434,176130.06969124178,0.30692265102680266,-1711.950378559417,-1876.8564211089583,27.02915395758572,27.940097542390205,54.969251499975925,54.11242033550946,55.824370714055725,109.93679104956519,0.0,-0.03471911152036299,7,1.1666666666666667
BTC,1,LONG,2019-10-27 12:00:00,2019-10-27 16:00:00,2019-10-28 08:00:00,9523.98,9533.587737651465,9426.18,9416.75382,FLIP,5.301695174792631,5.140227127399,50544.16626632438,173438.29544762,0.2914244869385792,-477.0223585751325,-627.788081329633,25.272083133162187,24.98331679246018,50.25539992562237,50.493672593720675,50.01665023515742,100.51032282887809,0.0,-0.012420584366190325,4,0.6666666666666666
BTC,-1,SHORT,2019-10-28 04:00:00,2019-10-28 08:00:00,2020-01-14 04:00:00,9426.18,7466.551302839007,8461.83,8470.291829999998,FLIP,36.53069899243318,8.552457315733314,281944.85085154505,173102.49907963094,1.6287740058671496,-3418.2720342683206,-4045.7515548723877,140.9724254257724,142.96549765685327,283.9379230826257,282.2270779294763,285.6453499637051,567.8724278931813,-224.33083037174055,-0.014349442958980064,467,77.83333333333333
ETH,1,LONG,2019-11-12 20:00:00,2019-11-13 00:00:00,2019-11-13 04:00:00,187.09,187.27709,185.78,185.59422,FLIP,356.15976910360143,356.15976910360143,66700.56513279438,173990.5864035652,0.3833573212868236,-466.56929752571864,-665.7714704688492,33.35028256639719,33.05059727108151,66.4008798374787,66.63393120158693,66.16736190406496,132.8012931056519,0.0,-0.009981496695618134,1,0.16666666666666666
ETH,-1,SHORT,2019-11-13 00:00:00,2019-11-13 04:00:00,2019-11-13 12:00:00,185.78,185.59422,187.17,187.35716999999997,FLIP,358.7219344837904,358.1964393321848,66576.71762741018,173641.41146305925,0.3834149761076655,-497.9403452353765,-698.617587688589,33.28835881370509,33.6042213174838,66.89258013118888,66.64336098839645,67.14130133362696,133.7846623220234,0.0,-0.010493421913623485,2,0.3333333333333333
ETH,1,LONG,2019-11-13 08:00:00,2019-11-13 12:00:00,2019-11-14 16:00:00,187.17,187.34204278468397,184.56,184.37544,FLIP,361.75828175247085,361.75828175247085,67772.53549778515,172906.6282105804,0.391960309440804,-938.7221868820197,-1140.4290649641391,33.886267748892564,33.349671185877895,67.23593893477046,67.70483066711104,66.76610848023773,134.47093914734876,0.0,-0.016827304107596933,7,1.1666666666666667
ETH,-1,SHORT,2019-11-14 12:00:00,2019-11-14 16:00:00,2019-11-15 00:00:00,184.56,184.3636575556092,184.93,185.11493,FLIP,367.3037607937642,367.3037607937642,67717.46477386894,172514.0496940095,0.3925330423462919,-140.23445969798422,-343.80063157643394,33.85873238693448,33.9967049840372,67.85543737097169,67.78525002389456,67.92548448358349,135.71073450747804,0.0,-0.005076986161908131,2,0.3333333333333333
ETH,1,LONG,2019-11-14 20:00:00,2019-11-15 00:00:00,2019-11-15 04:00:00,184.93,185.11493,182.18,181.99782000000002,FLIP,362.90824096282745,362.90824096282745,67179.73362225693,172153.41271192694,0.390231785498625,-997.9976626477753,-1197.8390281563907,33.589866811128466,33.02425435763465,66.61412116876312,67.11262100124844,66.11462333860364,133.22724433985206,0.0,-0.01783036287240564,1,0.16666666666666666
ETH,-1,SHORT,2019-11-15 00:00:00,2019-11-15 04:00:00,2020-01-18 04:00:00,182.18,143.69094573511592,171.91,172.08190999999997,FLIP,1702.0379350890166,326.59188540083056,255787.81036920266,171471.55069058164,1.491721567449802,2341.18913113714,1936.8265673240508,127.8939051846013,126.97818387869053,254.8720890632918,256.04385422342216,253.70266509225607,509.74651931567826,-360.2560445658813,0.007572004954139317,384,64.0
BTC,1,LONG,2020-01-14 00:00:00,2020-01-14 04:00:00,2020-01-23 20:00:00,8461.83,8528.279700497165,8369.9,8361.5301,FLIP,9.388329808859257,7.29037848510226,80009.02382798716,173010.22255848153,0.46245258022798175,-444.94116846804985,-1136.1072974457666,40.004511913993554,39.70233470561054,79.7068466196041,79.9290947332399,79.48415356478364,159.41324829802355,452.0460340600891,-0.014199739517986172,58,9.666666666666666
ETH,1,LONG,2020-01-18 00:00:00,2020-01-18 04:00:00,2020-01-18 08:00:00,171.91,172.08190999999997,168.1,167.93189999999998,FLIP,325.5909782922971,325.5909782922971,56028.31742330701,168185.13874262536,0.33313476947001514,-1240.5016272936527,-1412.0317146832988,28.014158711653504,27.338555803742103,55.352714515395604,55.97234507821853,54.7318434509383,110.70418852915682,5.4731843450935145,-0.02520210814140767,1,0.16666666666666666
