symbol,signal_time,entry_time,exit_time,entry_price,stop_type,stop_price,sweep_low,ref_low,sweep_risk_pct,ref_risk_pct,tightening_pct_of_price,exit_price,exit_reason,initial_quantity,initial_notional,risk_budget,nominal_risk,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,expectancy_r,holding_bars,holding_hours
BTC,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-23 04:00:00,10168.831875,sweep_low,10100.0,10100.0,10121.84,0.006768906777702022,0.004621167463249038,0.0021477393144529833,10094.95,STOP,4.81209489569415,48933.38396085947,331.22551434855706,68.83187499999985,100000.0,19.57335358434379,39.00449653125885,4.977188247375625,-355.52659357180903,-399.5082783504435,-0.0039950827835044354,-1.2061518845738157,2,8
ETH,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-23 04:00:00,213.636765,sweep_low,212.25,212.25,212.52,0.006491228230309502,0.0052274008174575505,0.001263827412851951,212.143875,STOP,238.84761610551016,51026.63203274309,331.22551434855706,1.386764999999997,100000.0,20.410652813097236,40.67867633915137,5.197085278839796,-356.5732176077523,-402.44897922574347,-0.004024489792257435,-1.215030128392332,2,8
BTC,2019-08-13 16:00:00,2019-08-13 20:00:00,2019-08-14 00:00:00,10941.74814,sweep_low,10788.45,10788.45,10911.0,0.01401038828883142,0.002810167041552804,0.011200221247278616,10783.055775,STOP,6.47092278761011,70803.20737541653,991.9804274242383,153.29813999999897,99198.04274242382,28.321282950166616,56.23181148397394,7.049009145764048,-1026.8860408982343,-1090.1668615279723,-0.010989802131063046,-1.0989802131063044,1,4
BTC,2019-08-14 08:00:00,2019-08-14 12:00:00,2019-08-14 16:00:00,10559.99736,sweep_low,10410.0,10410.0,10541.0,0.014204299005620149,0.001798992873990585,0.012405306131629565,10404.795,STOP,6.540640173993478,69069.14297008107,981.0787588089584,149.9973599999994,98107.87588089584,27.62765718803243,54.849265259699024,6.876861782137613,-1015.1227909145939,-1076.8489179564306,-0.010976171976893458,-1.0976171976893458,1,4
BTC,2019-08-16 04:00:00,2019-08-16 08:00:00,2019-08-18 08:00:00,9942.538784999999,sweep_low,9750.0,9750.0,9911.0,0.019365153022131144,0.003172105805368385,0.01619304721676276,10388.803,TIME_T12,5.039557456589331,50105.99547137537,970.3102696293942,192.53878499999882,97031.02696293942,20.04239818855015,40.98438603802519,31.11656609164239,2248.9741523122398,2176.8732001825724,0.022434815628757796,2.24348156287578,12,48
BTC,2019-08-21 16:00:00,2019-08-21 20:00:00,2019-08-22 00:00:00,10112.19357,sweep_low,9858.0,9858.0,9921.16,0.025137332294955215,0.01889140755441449,0.006245924740540727,9853.071,STOP,3.9028485324440827,39466.35983446499,992.0790016312201,254.19356999999945,99207.900163122,15.786543933785996,31.168561410752936,3.9578084454779603,-1011.3161420476373,-1046.442511903868,-0.010547975616692433,-1.054797561669243,1,4
BTC,2019-10-30 08:00:00,2019-10-30 12:00:00,2019-10-30 16:00:00,9100.778115,sweep_low,9018.0,9018.0,9072.0,0.009095718404953022,0.003162159832527591,0.005933558572425431,9013.491,STOP,10.781738388499438,98122.20876771104,892.4919802231121,82.77811499999916,98161.45765121812,39.248883507084415,78.12132427872208,9.80461100182651,-941.1068386168562,-1029.0327738974047,-0.010483063297141606,-1.152988258382063,1,4
BTC,2019-10-31 08:00:00,2019-10-31 12:00:00,2019-11-02 12:00:00,9114.084765,sweep_low,8913.0,8913.0,9001.01,0.022063078211891046,0.012406595715922047,0.009656482495968998,9319.697820000001,TIME_T12,4.83042188090783,44024.87447330469,971.324248773207,201.0847649999996,97132.42487732071,17.609949789321877,35.61717869859268,26.558659398560593,993.1977998723129,931.0219617751595,0.009585078957423849,0.9585078957423849,12,48
BTC,2019-11-07 20:00:00,2019-11-08 00:00:00,2019-11-08 08:00:00,9218.607,sweep_low,9101.0,9101.0,9119.0,0.01275756738518086,0.010804994724257144,0.0019525726609237167,9096.4495,STOP,8.338232149370011,76866.88525980743,980.6344683909587,117.60699999999997,98063.44683909586,30.746754103922974,61.086077170331286,7.6248296831342115,-1018.5775937866616,-1087.2885006401273,-0.011087602319589768,-1.1087602319589769,2,8
BTC,2019-11-11 08:00:00,2019-11-11 12:00:00,2019-11-12 12:00:00,8730.533085,sweep_low,8618.68,8618.68,8696.0,0.012811713089109592,0.0039554383064340825,0.008856274782675509,8614.37066,STOP,8.669958306331628,75693.35783899884,969.7615833845574,111.85308499999883,96976.15833845575,30.277343135599537,60.15183691859413,22.74064172067658,-1007.1233815123628,-1090.0158601516337,-0.01124003960176869,-1.1240039601768692,6,24
BTC,2019-11-12 12:00:00,2019-11-12 16:00:00,2019-11-14 16:00:00,8707.961805,sweep_low,8567.6,8567.6,8618.68,0.016118789694209098,0.01025289350129396,0.005865896192915137,8644.69549,TIME_T12,6.831355757950234,59487.185016597476,958.8614247830411,140.36180500000046,95886.14247830411,23.79487400663899,47.416870131174164,35.800020429191555,-432.19470525954847,-515.4115958199142,-0.005375245916650937,-0.5375245916650937,12,48
BTC,2020-01-19 08:00:00,2020-01-19 12:00:00,2020-01-19 20:00:00,8685.50058,sweep_low,8524.2,8524.2,8586.0,0.0185712473926286,0.011455940746710525,0.0071153066459180726,8519.9379,STOP,5.912609296413235,51353.97147331054,953.7073088248418,161.30057999999917,95370.73088248419,20.541588589324217,40.691614202285606,47.18740120911685,-978.9074409070843,-1066.7864563184867,-0.011185679782961724,-1.1185679782961724,2,8
BTC,2020-01-19 20:00:00,2020-01-20 00:00:00,2020-01-22 00:00:00,8706.070859999998,sweep_low,8466.0,8466.0,8524.2,0.02757510981251054,0.020890119426388094,0.006684990386122442,8711.412115000001,TIME_T12,3.9281712252026963,34198.93703682769,943.0394442616571,240.070859999998,94303.9444261657,13.679574814731076,27.367542175141143,25.17989604377997,20.98136419748182,-31.56607402143929,-0.0003347269747147599,-0.03347269747147599,12,48
BTC,2020-01-23 16:00:00,2020-01-23 20:00:00,2020-01-24 00:00:00,8374.084949999999,sweep_low,8306.39,8306.39,8326.0,0.00808386234486422,0.005742113948819994,0.002341748396044225,8302.236805,STOP,11.25313213813922,94234.68447835295,761.7802174347181,67.69494999999915,94272.37835214428,37.69387379134118,75.0643409148563,51.75168390542807,-808.5166695651654,-935.3326943854498,-0.009921598571445983,-1.2278248673024967,1,4
BTC,2020-01-24 00:00:00,2020-01-24 04:00:00,2020-01-24 08:00:00,8324.750295,sweep_low,8275.5,8275.5,8306.39,0.005916128803236353,0.002205506994129054,0.003710621809107299,8271.36225,STOP,11.207510431092379,93299.72576745186,551.9731949468749,49.250294999999824,93337.04565775883,37.319890306980746,74.40044178546825,39.3666311819144,-598.3470712331259,-712.1141442005086,-0.007629490939874339,-1.2901245037253062,1,4
BTC,2020-01-24 08:00:00,2020-01-24 12:00:00,2020-01-26 12:00:00,8417.62671,sweep_low,8238.0,8238.0,8275.5,0.021339353262910424,0.016884415868804955,0.00445493739410547,8455.440165,TIME_T12,5.156523298431401,43405.68824761347,926.2493151355832,179.62671000000046,92624.93151355832,17.36227529904539,34.80254498277145,29.435997490760457,194.9859617016849,130.74741922815298,0.001411579119051919,0.1411579119051919,12,48
BTC,2020-02-02 04:00:00,2020-02-02 08:00:00,2020-02-04 08:00:00,9375.215265,sweep_low,9120.0,9120.0,9204.44,0.02722233653159757,0.01821561000711595,0.009006726524481623,9115.44,STOP,3.634409522204176,34073.37163182995,927.5567893278649,255.21526500000073,92755.67893278648,13.62934865273198,26.881045426764317,110.54242562685926,-944.129696749114,-1081.5531678027376,-0.011660236658786823,-1.1660236658786822,12,48
BTC,2020-02-04 08:00:00,2020-02-04 12:00:00,2020-02-06 12:00:00,9187.401404999999,sweep_low,9108.0,9108.0,9120.0,0.008642422541458415,0.007336286075768637,0.001306136465689778,9781.98656,TIME_T12,9.974253517082843,91637.47077667309,791.9697430825563,79.4014049999987,91674.12576498376,36.65498831066924,75.68219385072408,335.74284777282605,5930.543073464004,5519.118031840454,0.06020366145611568,6.968849605741985,12,48
ETH,2020-02-16 12:00:00,2020-02-16 16:00:00,2020-02-16 20:00:00,258.96941999999996,sweep_low,256.06,256.06,256.08,0.011234608317846775,0.011157379122214404,7.722919563237163e-05,255.93197,STOP,334.0639845633347,86512.35632525574,971.9324379682421,2.9094199999999546,97193.24379682422,34.6049425301023,68.80400400023984,0.0,-1014.7026499118844,-1083.5066539121242,-0.011147962672972621,-1.1147962672972622,1,4
BTC,2020-02-17 12:00:00,2020-02-17 16:00:00,2020-02-19 20:00:00,9640.087635,sweep_low,9452.67,9452.67,9568.0,0.019441486643705163,0.007477902455811011,0.011963584187894151,9447.943665,STOP,5.1281053217277135,49435.38470296503,961.0973714291212,187.4176349999998,96109.7371429121,19.774153881186013,39.15417395633407,100.63262362072064,-985.3345150948859,-1125.1213126719406,-0.011706631878504894,-1.1706631878504892,12,48
