symbol,onboard_date,delist_date,source
ICXUSDT,2020-09-15,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
STORJUSDT,2020-09-16,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BLZUSDT,2020-09-17,2024-12-23,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
UNIUSDT,2020-09-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
AVAXUSDT,2020-09-23,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
FTMUSDT,2020-09-24,2025-01-06,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ENJUSDT,2020-09-29,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
FLMUSDT,2020-09-29,2025-11-21,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
RENUSDT,2020-10-13,2024-12-03,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
KSMUSDT,2020-10-14,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
NEARUSDT,2020-10-15,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
AAVEUSDT,2020-10-16,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
FILUSDT,2020-10-16,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
LRCUSDT,2020-10-19,2026-03-24,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
RSRUSDT,2020-10-19,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
OCEANUSDT,2020-11-03,2024-06-25,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BELUSDT,2020-11-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
AXSUSDT,2020-11-20,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ALPHAUSDT,2020-11-23,2025-09-23,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ZENUSDT,2020-11-24,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
GRTUSDT,2020-12-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
1INCHUSDT,2020-12-25,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
SANDUSDT,2021-01-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
CHZUSDT,2021-01-21,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ANKRUSDT,2021-01-25,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
REEFUSDT,2021-01-25,2025-01-22,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
UNFIUSDT,2021-02-09,2024-10-30,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
RVNUSDT,2021-02-23,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
SFPUSDT,2021-02-24,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
XEMUSDT,2021-03-02,2024-12-09,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
COTIUSDT,2021-03-09,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
CHRUSDT,2021-03-12,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
MANAUSDT,2021-03-14,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ALICEUSDT,2021-03-15,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
GTCUSDT,2021-03-15,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
HBARUSDT,2021-03-17,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
LINAUSDT,2021-03-17,2025-03-27,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ONEUSDT,2021-03-17,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
STMXUSDT,2021-03-17,2025-02-21,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
DENTUSDT,2021-03-23,2026-04-21,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
CELRUSDT,2021-03-29,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
HOTUSDT,2021-03-30,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
MTLUSDT,2021-03-31,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
OGNUSDT,2021-03-31,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
NKNUSDT,2021-04-08,2026-02-06,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
SCUSDT,2021-04-12,2022-06-17,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
DGBUSDT,2021-04-19,2024-04-01,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
1000SHIBUSDT,2021-05-10,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BAKEUSDT,2021-05-18,2025-10-03,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BTCDOMUSDT,2021-06-17,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
MASKUSDT,2021-07-16,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ICPUSDT,2021-07-30,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
IOTXUSDT,2021-08-11,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
RAYUSDT,2021-08-18,2022-11-15,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
C98USDT,2021-08-23,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ATAUSDT,2021-08-30,2026-05-19,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
DYDXUSDT,2021-09-09,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
1000XECUSDT,2021-09-16,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
GALAUSDT,2021-09-17,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
CELOUSDT,2021-09-26,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ARUSDT,2021-09-28,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
KLAYUSDT,2021-10-11,2024-10-22,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ARPAUSDT,2021-10-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
CTSIUSDT,2021-10-25,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
LPTUSDT,2021-11-10,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
