datetime,futures_close,spot_close,basis_pct,symbol
2020-01-01 00:00:00+00:00,7221.65,7225.01,-0.04650512594447042,BTCUSDT
2020-01-01 04:00:00+00:00,7205.26,7209.83,-0.06338568315757388,BTCUSDT
2020-01-01 08:00:00+00:00,7192.65,7197.2,-0.06321902962263355,BTCUSDT
2020-01-01 12:00:00+00:00,7229.49,7234.19,-0.06496926400882226,BTCUSDT
2020-01-01 16:00:00+00:00,7226.35,7229.48,-0.04329495344062367,BTCUSDT
2020-01-01 20:00:00+00:00,7197.57,7200.85,-0.04555017810398293,BTCUSDT
2020-01-02 00:00:00+00:00,7127.29,7129.61,-0.03254034933186681,BTCUSDT
2020-01-02 04:00:00+00:00,7107.56,7110.57,-0.04233134615086145,BTCUSDT
2020-01-02 08:00:00+00:00,7136.24,7139.79,-0.04972135034784191,BTCUSDT
2020-01-02 12:00:00+00:00,7126.25,7130.98,-0.06633029401287852,BTCUSDT
2020-01-02 16:00:00+00:00,6979.44,6983.27,-0.05484536613937076,BTCUSDT
2020-01-02 20:00:00+00:00,6962.04,6965.71,-0.05268666079983336,BTCUSDT
2020-01-03 00:00:00+00:00,6947.35,6952.04,-0.06746221253041697,BTCUSDT
2020-01-03 04:00:00+00:00,7198.02,7203.21,-0.07205121050197898,BTCUSDT
2020-01-03 08:00:00+00:00,7338.11,7340.46,-0.03201434242541154,BTCUSDT
2020-01-03 12:00:00+00:00,7316.01,7320.18,-0.05696581231609158,BTCUSDT
2020-01-03 16:00:00+00:00,7338.9,7343.08,-0.05692434237404865,BTCUSDT
2020-01-03 20:00:00+00:00,7341.72,7344.96,-0.044111880799892464,BTCUSDT
2020-01-04 00:00:00+00:00,7329.29,7333.11,-0.05209249554417851,BTCUSDT
2020-01-04 04:00:00+00:00,7344.13,7348.11,-0.05416358764361943,BTCUSDT
2020-01-04 08:00:00+00:00,7333.07,7336.45,-0.046071328776180705,BTCUSDT
2020-01-04 12:00:00+00:00,7315.45,7318.99,-0.04836732937194837,BTCUSDT
2020-01-04 16:00:00+00:00,7331.35,7334.83,-0.047444862389442746,BTCUSDT
2020-01-04 20:00:00+00:00,7350.71,7354.11,-0.0462326508578147,BTCUSDT
2020-01-05 00:00:00+00:00,7475.15,7475.99,-0.01123597008556921,BTCUSDT
2020-01-05 04:00:00+00:00,7462.98,7463.63,-0.008708899020993078,BTCUSDT
2020-01-05 08:00:00+00:00,7422.48,7422.33,0.002020928738005939,BTCUSDT
2020-01-05 12:00:00+00:00,7463.59,7468.42,-0.06467231355494103,BTCUSDT
2020-01-05 16:00:00+00:00,7441.83,7444.14,-0.03103111978012773,BTCUSDT
2020-01-05 20:00:00+00:00,7354.36,7358.75,-0.05965687107185769,BTCUSDT
2020-01-06 00:00:00+00:00,7538.65,7540.9,-0.029837287326446447,BTCUSDT
2020-01-06 04:00:00+00:00,7505.35,7507.91,-0.034097371971687065,BTCUSDT
2020-01-06 08:00:00+00:00,7540.0,7544.72,-0.06256030707568014,BTCUSDT
2020-01-06 12:00:00+00:00,7515.92,7519.99,-0.05412241239682112,BTCUSDT
2020-01-06 16:00:00+00:00,7537.89,7539.9,-0.026658178490421743,BTCUSDT
2020-01-06 20:00:00+00:00,7757.39,7758.0,-0.007862851250318029,BTCUSDT
2020-01-07 00:00:00+00:00,7898.59,7894.9,0.046739034059969216,BTCUSDT
2020-01-07 04:00:00+00:00,7886.66,7883.37,0.04173342111305144,BTCUSDT
2020-01-07 08:00:00+00:00,7899.86,7895.14,0.05978361371678457,BTCUSDT
2020-01-07 12:00:00+00:00,7769.11,7764.59,0.05821298999689008,BTCUSDT
2020-01-07 16:00:00+00:00,8077.71,8073.69,0.04979135934127316,BTCUSDT
2020-01-07 20:00:00+00:00,8152.49,8145.28,0.0885175218040391,BTCUSDT
2020-01-08 00:00:00+00:00,8302.62,8300.34,0.027468754292000748,BTCUSDT
2020-01-08 04:00:00+00:00,8301.47,8297.26,0.0507396417612456,BTCUSDT
2020-01-08 08:00:00+00:00,8335.28,8332.47,0.03372349375396863,BTCUSDT
2020-01-08 12:00:00+00:00,8306.39,8305.97,0.005056603864450182,BTCUSDT
2020-01-08 16:00:00+00:00,7965.05,7963.35,0.02134779960694705,BTCUSDT
2020-01-08 20:00:00+00:00,8059.84,8055.98,0.04791471676941331,BTCUSDT
2020-01-09 00:00:00+00:00,7957.38,7954.72,0.03343926624695595,BTCUSDT
