datetime,open,high,low,close,volume
2020-02-01 00:00:00,18.2577,18.5944,18.1647,18.4553,0
2020-02-01 04:00:00,18.4553,18.4855,18.3015,18.4389,0
2020-02-01 08:00:00,18.4389,18.4393,18.0307,18.1247,0
2020-02-01 12:00:00,18.126,18.2306,18.0351,18.1229,0
2020-02-01 16:00:00,18.1229,18.2501,18.1129,18.155,0
2020-02-01 20:00:00,18.155,18.2678,18.121,18.2677,0
2020-02-02 00:00:00,18.2666,18.2871,17.9376,18.017,0
2020-02-02 04:00:00,18.017,18.3178,17.8336,18.2143,0
2020-02-02 08:00:00,18.2143,18.5298,18.214,18.4894,0
2020-02-02 12:00:00,18.4894,18.6868,18.3006,18.6509,0
2020-02-02 16:00:00,18.6502,18.75,18.5686,18.682,0
2020-02-02 20:00:00,18.682,18.7714,18.42,18.421,0
2020-02-03 00:00:00,18.4333,18.8763,18.36,18.4214,0
2020-02-03 04:00:00,18.4214,18.5988,18.3852,18.45,0
2020-02-03 08:00:00,18.45,18.52,18.2016,18.3628,0
2020-02-03 12:00:00,18.3576,18.42,18.1959,18.2199,0
2020-02-03 16:00:00,18.2199,18.38,18.2194,18.3691,0
2020-02-03 20:00:00,18.3699,18.4941,18.3249,18.46,0
2020-02-04 00:00:00,18.4666,18.6158,18.3933,18.4207,0
2020-02-04 04:00:00,18.4207,18.4685,18.25,18.3709,0
2020-02-04 08:00:00,18.3709,18.3997,17.8948,18.0449,0
2020-02-04 12:00:00,18.0414,18.2056,17.87,18.1685,0
2020-02-04 16:00:00,18.1684,18.2573,18.12,18.1547,0
2020-02-04 20:00:00,18.1643,18.2649,18.0649,18.1821,0
2020-02-05 00:00:00,18.1821,18.8498,18.1635,18.7198,0
2020-02-05 04:00:00,18.7198,18.8,18.5541,18.7381,0
2020-02-05 08:00:00,18.7381,19.1336,18.6229,18.9765,0
2020-02-05 12:00:00,18.9765,19.1817,18.9345,19.1608,0
2020-02-05 16:00:00,19.1702,19.4583,19.0952,19.1707,0
2020-02-05 20:00:00,19.1638,19.3804,19.1129,19.2611,0
2020-02-06 00:00:00,19.2611,19.29,19.0313,19.24,0
2020-02-06 04:00:00,19.24,19.6585,19.2202,19.5,0
2020-02-06 08:00:00,19.5,19.9932,19.3944,19.9108,0
2020-02-06 12:00:00,19.9123,20.6016,19.7,20.5013,0
2020-02-06 16:00:00,20.5013,20.84,20.3298,20.5635,0
2020-02-06 20:00:00,20.5635,20.67,20.45,20.67,0
2020-02-07 00:00:00,20.67,21.1107,20.5199,20.8641,0
2020-02-07 04:00:00,20.8641,21.5219,20.5983,21.401,0
2020-02-07 08:00:00,21.401,22.5221,21.2172,21.9999,0
2020-02-07 12:00:00,21.9606,22.2498,21.528,21.9294,0
2020-02-07 16:00:00,21.9212,22.3554,21.7332,22.3553,0
